date, pm25, pm10, o3, no2, so2, co
2020/7/2, 68, 32, , 17, 4, 7
2020/7/3, 58, 19, , 7, 3, 4
2020/7/4, 42, 24, , 4, , 3
2020/7/5, 44, , , , , 
2020/6/2, 104, 36, , 9, 4, 4
2020/6/3, 70, 35, , 11, 4, 5
2020/6/4, 70, 35, , 10, 5, 5
2020/6/5, 61, 27, , 17, 3, 5
2020/6/6, 52, 33, , 13, 4, 6
2020/6/7, 65, 33, , 9, 4, 3
2020/6/8, 56, 52, , 12, 5, 6
2020/6/9, 90, 34, , 10, 3, 4
2020/6/10, 64, 36, , 15, 3, 5
2020/6/11, 67, 58, , 17, 3, 9
2020/6/12, 126, 24, , 11, 3, 4
2020/6/13, 42, 24, , 15, 3, 5
2020/6/14, 47, 22, , 11, 3, 5
2020/6/15, 52, 26, , 20, 3, 8
2020/6/16, 57, 35, , 20, 3, 7
2020/6/17, 73, 38, , 15, 3, 7
2020/6/18, 84, 27, , 12, 3, 6
2020/6/19, 53, 32, , 12, 3, 5
2020/6/20, 58, 34, , 10, 3, 5
2020/6/21, 84, 19, , 10, 3, 4
2020/6/22, 43, 24, , 16, 3, 6
2020/6/23, 48, 34, , 13, 3, 6
2020/6/24, 71, 24, , 10, 3, 6
2020/6/25, 55, 52, , 13, 4, 7
2020/6/26, 112, 31, , 11, 3, 6
2020/6/27, 68, 24, , 15, 3, 6
2020/6/28, 55, 20, , 18, 3, 7
2020/6/29, 47, 19, , 6, 3, 3
2020/6/30, 40, 39, , 12, 4, 7
2020/7/1, 70, 41, , 15, 4, 7
2020/5/2, 123, 51, , 12, 3, 4
2020/5/3, 100, 58, , 18, 4, 6
2020/5/4, 110, 77, , 25, 6, 9
2020/5/5, 127, 50, , 13, 2, 4
2020/5/6, 99, 56, , 16, 3, 4
2020/5/7, 99, 43, , 14, 3, 3
2020/5/8, 90, 35, , 11, 2, 4
2020/5/9, 68, 48, , 8, 2, 4
2020/5/10, 76, 60, , 13, 3, 6
2020/5/11, 126, 68, , 21, 3, 6
2020/5/12, 122, 40, , 15, 5, 4
2020/5/13, 42, 62, , 16, 4, 5
2020/5/14, 70, 61, , 15, 4, 4
2020/5/15, 94, 43, , 14, 3, 6
2020/5/16, 91, 47, , 17, 3, 7
2020/5/17, 100, 43, , 11, 4, 5
2020/5/18, 90, 47, , 11, 4, 4
2020/5/19, 65, 55, , 20, 5, 4
2020/5/20, 70, 72, , 24, 5, 6
2020/5/21, 105, 55, , 12, 4, 4
2020/5/22, 85, 37, , 9, 3, 2
2020/5/23, 57, 43, , 10, 4, 2
2020/5/24, 72, 46, , 9, 5, 4
2020/5/25, 86, 69, , 20, 8, 9
2020/5/26, 128, 53, , 14, 4, 6
2020/5/27, 120, 52, , 12, 5, 7
2020/5/28, 108, 59, , 17, 6, 7
2020/5/29, 112, 68, , 26, 5, 8
2020/5/30, 132, 35, , 16, 3, 7
2020/5/31, 84, 51, , 15, 3, 6
2020/6/1, 116, 53, , 13, 4, 5
2020/4/2, 105, 42, , 20, 4, 7
2020/4/3, 66, 63, , 25, 5, 9
2020/4/4, 106, 73, , 24, 4, 8
2020/4/5, 133, 36, , 11, 5, 5
2020/4/6, 46, 59, , 20, 4, 8
2020/4/7, 87, 62, , 28, 5, 9
2020/4/8, 100, 61, , 24, 5, 6
2020/4/9, 104, 61, , 23, 5, 7
2020/4/10, 97, 59, , 16, 3, 7
2020/4/11, 84, 39, , 12, 2, 5
2020/4/12, 68, 52, , 11, 4, 4
2020/4/13, 105, 62, , 18, 4, 4
2020/4/14, 111, 80, , 30, 5, 6
2020/4/15, 147, 55, , 22, 5, 5
2020/4/16, 98, 64, , 29, 5, 5
2020/4/17, 108, 80, , 25, 5, 5
2020/4/18, 137, 67, , 22, 5, 7
2020/4/19, 115, 51, , 14, 3, 8
2020/4/20, 103, 57, , 15, 4, 6
2020/4/21, 114, 37, , 23, 5, 7
2020/4/22, 67, 51, , 15, 4, 3
2020/4/23, 83, 53, , 19, 5, 5
2020/4/24, 75, 67, , 27, 5, 5
2020/4/25, 106, 53, , 16, 6, 5
2020/4/26, 80, 67, , 16, 6, 7
2020/4/27, 98, 47, , 14, 5, 5
2020/4/28, 70, 47, , 17, 4, 3
2020/4/29, 87, 50, , 14, 4, 3
2020/4/30, 84, 68, , 18, 5, 5
2020/5/1, 113, 70, , 19, 5, 7
2020/3/2, 78, 40, , 10, 4, 7
2020/3/3, 85, 50, , 19, 4, 6
2020/3/4, 101, 55, , 15, 5, 6
2020/3/5, 117, 48, , 17, 5, 6
2020/3/6, 92, 51, , 16, 4, 5
2020/3/7, 95, 75, , 20, 4, 7
2020/3/8, 151, 60, , 16, 4, 9
2020/3/9, 122, 24, , 13, 3, 5
2020/3/10, 73, 37, , 12, 3, 6
2020/3/11, 77, 70, , 18, 4, 9
2020/3/12, 143, 70, , 22, 4, 11
2020/3/13, 133, 59, , 15, 3, 6
2020/3/14, 115, 40, , 11, 4, 5
2020/3/15, 61, 64, , 20, 5, 6
2020/3/16, 93, 47, , 15, 4, 6
2020/3/17, 68, 57, , 18, 5, 6
2020/3/18, 85, 63, , 26, 5, 7
2020/3/19, 112, 61, , 17, 5, 6
2020/3/20, 87, 60, , 17, 5, 4
2020/3/21, 79, 71, , 22, 5, 7
2020/3/22, 115, 63, , 14, 4, 6
2020/3/23, 111, 40, , 18, 5, 7
2020/3/24, 57, 41, , 22, 4, 7
2020/3/25, 64, 59, , 15, 4, 6
2020/3/26, 103, 64, , 27, 3, 10
2020/3/27, 146, 22, , 10, 2, 3
2020/3/28, 23, 38, , 14, 2, 5
2020/3/29, 53, 34, , 15, 3, 5
2020/3/30, 58, 39, , 18, 3, 6
2020/3/31, 79, 48, , 25, 3, 7
2020/4/1, 82, 57, , 18, 3, 6
2020/2/2, 121, 36, , 14, 4, 5
2020/2/3, 93, 66, , 14, 4, 7
2020/2/4, 148, 39, , 11, 4, 5
2020/2/5, 90, 41, , 11, 4, 5
2020/2/6, 88, 24, , 6, 3, 2
2020/2/7, 55, 32, , 9, 3, 3
2020/2/8, 84, 44, , 6, 3, 4
2020/2/9, 107, 50, , 5, 3, 6
2020/2/10, 124, 41, , 7, 3, 5
2020/2/11, 102, 44, , 5, 5, 4
2020/2/12, 102, 50, , 9, , 6
2020/2/13, 126, 53, , 13, 4, 9
2020/2/14, 131, 30, , 10, 3, 5
2020/2/15, 74, 22, , 8, 7, 5
2020/2/16, 47, 30, , 3, 4, 4
2020/2/17, 65, 22, , 3, 4, 3
2020/2/18, 53, 29, , 7, 5, 4
2020/2/19, 72, 45, , 10, 4, 4
2020/2/20, 106, 44, , 16, 5, 7
2020/2/21, 103, 44, , 13, 4, 6
2020/2/22, 99, 69, , 12, 5, 7
2020/2/23, 145, 70, , 12, 4, 6
2020/2/24, 130, 75, , 15, 4, 7
2020/2/25, 144, 78, , 19, 4, 7
2020/2/26, 154, 42, , 8, 3, 5
2020/2/27, 87, 48, , 12, 4, 6
2020/2/28, 92, 47, , 14, 3, 6
2020/2/29, 100, 28, , 11, 3, 5
2020/3/1, 68, 35, , 10, 3, 7
2020/1/2, 104, 74, , 27, 6, 8
2020/1/3, 148, 63, , 19, 5, 6
2020/1/4, 123, 97, , 31, 8, 11
2020/1/5, 182, 67, , 25, 6, 9
2020/1/6, 142, 77, , 23, 6, 10
2020/1/7, 149, 44, , 20, 4, 13
2020/1/8, 97, 48, , 17, 6, 9
2020/1/9, 112, 48, , 24, 6, 10
2020/1/10, 119, 32, , 23, 4, 7
2020/1/11, 86, 45, , 19, 3, 6
2020/1/12, 117, 88, , 24, 3, 11
2020/1/13, 174, 117, , 37, 4, 16
2020/1/14, 211, 114, , 30, 5, 14
2020/1/15, 220, 58, , 25, 5, 8
2020/1/16, 136, 18, , 16, 2, 5
2020/1/17, 52, 58, , 19, 4, 8
2020/1/18, 140, 70, , 22, 4, 8
2020/1/19, 161, 75, , 22, 4, 10
2020/1/20, 167, 99, , 32, 5, 14
2020/1/21, 187, 105, , 28, 4, 13
2020/1/22, 191, 81, , 25, 3, 11
2020/1/23, 167, 35, , 17, 3, 6
2020/1/24, 85, 53, , 12, 3, 7
2020/1/25, 114, 31, , 8, 3, 5
2020/1/26, 71, 17, , 6, 2, 5
2020/1/27, 48, 39, , 7, 2, 8
2020/1/28, 104, 66, , 8, 3, 10
2020/1/29, 160, 58, , 7, 4, 8
2020/1/30, 152, 69, , 9, 5, 10
2020/1/31, 159, 67, , 13, 4, 10
2020/2/1, 149, 46, , 11, 4, 7
2019/10/2, 78, 25, , 9, 3, 4
2019/10/3, 57, 53, , 17, 4, 7
2019/10/4, 110, 54, , 20, 6, 10
2019/10/5, 102, 33, , 11, 4, 6
2019/10/6, 67, 42, , 18, 5, 6
2019/10/7, 59, 56, , 16, 5, 6
2019/10/8, 85, 59, , 17, 4, 7
2019/10/9, 104, 66, , 24, 5, 8
2019/10/10, 98, 53, , 23, 5, 7
