date, pm25, pm10, o3, no2, so2, co
2020/7/2, 40, 28, 39, 11, 5, 5
2020/7/3, 55, 34, 41, 13, 4, 6
2020/7/4, 68, 27, 39, 7, 4, 4
2020/7/5, 77, , , , , 
2020/6/2, 42, 53, 53, 9, 5, 3
2020/6/3, 62, 73, 36, 5, 3, 1
2020/6/4, 71, 25, 34, 10, 5, 2
2020/6/5, 40, 35, 46, 14, 4, 2
2020/6/6, 47, 46, 70, 11, 7, 4
2020/6/7, 69, 58, 101, 12, 5, 5
2020/6/8, 83, 74, 118, 10, 4, 3
2020/6/9, 104, 48, 55, 11, 5, 3
2020/6/10, 81, 48, 43, 10, 4, 3
2020/6/11, 72, 46, 46, 10, 5, 2
2020/6/12, 56, 32, 48, 15, 4, 4
2020/6/13, 50, 30, 39, 12, 4, 2
2020/6/14, 43, 16, 34, 8, 3, 1
2020/6/15, 35, 31, 34, 14, 6, 2
2020/6/16, 37, 88, 48, 16, 7, 3
2020/6/17, 49, 45, 77, 14, 4, 4
2020/6/18, 70, 31, 41, 17, 8, 4
2020/6/19, 70, 39, 64, 15, 6, 2
2020/6/20, 54, 46, 82, 12, 4, 3
2020/6/21, 69, 47, 85, 12, 4, 4
2020/6/22, 91, 53, 83, 11, 6, 3
2020/6/23, 83, 43, 68, 12, 5, 5
2020/6/24, 88, 31, 38, 12, 4, 2
2020/6/25, 58, 39, 41, 14, 9, 3
2020/6/26, 87, 44, 42, 18, 13, 4
2020/6/27, 93, 30, 45, 16, 5, 2
2020/6/28, 52, 35, 59, 14, 5, 2
2020/6/29, 47, 41, 57, 13, 4, 4
2020/6/30, 71, 24, 52, 11, 3, 2
2020/7/1, 44, 21, 35, 11, 5, 3
2020/5/2, 119, 78, 90, 15, 7, 4
2020/5/3, 127, 80, 42, 10, 6, 2
2020/5/4, 101, 47, 43, 12, 7, 3
2020/5/5, 84, 57, 42, 15, 5, 3
2020/5/6, 66, 76, 76, 20, 15, 7
2020/5/7, 123, 61, 61, 14, 10, 8
2020/5/8, 130, 46, 36, 11, 7, 4
2020/5/9, 69, 44, 36, 16, 8, 5
2020/5/10, 65, 111, 35, 7, 4, 1
2020/5/11, 58, 41, 36, 5, 4, 1
2020/5/12, 48, 38, 34, 7, 4, 1
2020/5/13, 45, 49, 71, 14, 6, 3
2020/5/14, 54, 97, 78, 10, 7, 5
2020/5/15, 114, 63, 55, 10, 11, 6
2020/5/16, 99, 74, 38, 16, 6, 7
2020/5/17, 133, 87, 30, 10, 4, 1
2020/5/18, 75, 61, 37, 8, 5, 1
2020/5/19, 96, 30, 39, 12, 4, 2
2020/5/20, 93, 48, 37, 18, 10, 3
2020/5/21, 96, 36, 44, 16, 10, 4
2020/5/22, 87, 16, 43, 11, 7, 3
2020/5/23, 34, 28, 46, 15, 12, 3
2020/5/24, 48, 18, 37, 9, 6, 1
2020/5/25, 62, 20, 36, 10, 6, 2
2020/5/26, 45, 44, 35, 11, 6, 2
2020/5/27, 35, 22, 35, 12, 7, 2
2020/5/28, 37, 36, 68, 14, 5, 4
2020/5/29, 54, 62, 75, 24, 8, 6
2020/5/30, 100, 63, 74, 20, 5, 5
2020/5/31, 101, 15, 49, 10, 3, 2
2020/6/1, 37, 37, 56, 12, 4, 2
2020/4/2, 36, 34, 35, 15, 6, 5
2020/4/3, 47, 64, 37, 12, 7, 5
2020/4/4, 62, 48, 38, 10, 7, 5
2020/4/5, 54, 67, 34, 23, 22, 9
2020/4/6, 110, 69, 42, 17, 10, 5
2020/4/7, 98, 27, 35, 9, 7, 4
2020/4/8, 38, 35, 36, 12, 8, 4
2020/4/9, 52, 45, 37, 16, 8, 3
