date, pm25, pm10, o3, no2, so2, co
2020/7/2, 136, 52, 33, 18, 3, 8
2020/7/3, 120, 16, 30, 5, 2, 5
2020/7/4, 61, 15, 23, 7, 2, 4
2020/7/5, 56, , , , , 
2020/6/2, 110, 48, 65, 8, 3, 7
2020/6/3, 89, 48, 63, 8, 3, 6
2020/6/4, 78, 52, 89, 7, 4, 7
2020/6/5, 79, 38, 34, 18, 4, 9
2020/6/6, 67, 43, 89, 13, 4, 8
2020/6/7, 72, 48, 73, 10, 3, 6
2020/6/8, 77, 49, 50, 9, 3, 6
2020/6/9, 85, 47, 55, 12, 2, 7
2020/6/10, 88, 40, 39, 13, 2, 7
2020/6/11, 94, 34, 70, 11, 3, 6
2020/6/12, 79, 39, 34, 16, 3, 8
2020/6/13, 89, 9, 31, 9, 3, 4
2020/6/14, 36, 16, 29, 6, 3, 6
2020/6/15, 61, 20, 30, 13, 3, 7
2020/6/16, 64, 21, 47, 10, 3, 5
2020/6/17, 73, 59, 43, 13, 3, 9
2020/6/18, 126, 18, 35, 4, 2, 5
2020/6/19, 56, 18, 59, 6, 2, 4
2020/6/20, 47, 39, 72, 10, 3, 5
2020/6/21, 97, 21, 48, 9, 2, 6
2020/6/22, 75, 31, 32, 13, 3, 7
2020/6/23, 85, 17, 41, 7, 2, 6
2020/6/24, 58, 28, 53, 4, 2, 6
2020/6/25, 84, 50, 98, 7, 3, 8
2020/6/26, 125, 41, 70, 7, 3, 7
2020/6/27, 99, 21, 41, 7, 2, 5
2020/6/28, 55, 25, 38, 11, 2, 7
2020/6/29, 68, 12, 38, 3, 2, 5
2020/6/30, 44, 31, 84, 8, 3, 7
2020/7/1, 77, 56, 104, 10, 2, 8
2020/5/2, 104, 56, 58, 14, 3, 7
2020/5/3, 134, 60, 85, 12, 2, 6
2020/5/4, 131, 63, 62, 13, 1, 7
2020/5/5, 127, 35, 28, 10, 2, 5
2020/5/6, 88, 47, 40, 10, 3, 4
2020/5/7, 81, 52, 46, 15, 3, 7
2020/5/8, 115, 36, 26, 11, 2, 6
2020/5/9, 86, 31, 28, 6, 2, 5
2020/5/10, 89, 45, 53, 8, 2, 7
2020/5/11, 96, 61, 65, 10, 3, 6
2020/5/12, 88, 57, 56, 12, 3, 5
2020/5/13, 68, 89, 94, 19, 4, 7
2020/5/14, 96, 68, 55, 18, 4, 10
2020/5/15, 113, 53, 63, 8, 2, 8
2020/5/16, 117, 56, 63, 13, 3, 8
2020/5/17, 127, 43, 63, 12, 3, 7
2020/5/18, 85, 63, 46, 6, 3, 5
2020/5/19, 82, 56, 73, 13, 3, 5
2020/5/20, 74, 74, 106, 21, 5, 8
2020/5/21, 106, 74, 107, 16, 5, 8
2020/5/22, 121, 44, 96, 10, 4, 6
2020/5/23, 76, 56, 104, 12, 6, 8
2020/5/24, 98, 62, 75, 12, 4, 7
2020/5/25, 102, 63, 59, 25, 6, 10
2020/5/26, 106, 57, 98, 11, 3, 8
2020/5/27, 128, 57, 89, 9, 3, 8
2020/5/28, 113, 59, 98, 10, 4, 7
2020/5/29, 98, 66, 63, 15, 6, 8
2020/5/30, 113, 36, 54, 13, 2, 7
