date, pm25, pm10, o3, no2, so2, co
2020/7/2, 78, 45, 55, 12, 9, 7
2020/7/3, 115, 53, 53, 5, 4, 7
2020/7/4, 157, 51, 31, 9, 2, 9
2020/7/5, 170, , , , , 
2020/6/2, 85, 45, 86, 9, 7, 5
2020/6/3, 98, 68, 89, 10, 7, 7
2020/6/4, 145, 52, 45, 16, 8, 5
2020/6/5, 68, 52, 58, 22, 23, 5
2020/6/6, 95, 52, 79, 19, 18, 6
2020/6/7, 106, 45, 78, 13, 5, 5
2020/6/8, 130, 57, 101, 9, 6, 6
2020/6/9, 126, 50, 52, 9, 5, 4
2020/6/10, 99, 47, 37, 8, 3, 4
2020/6/11, 125, 42, 49, 10, 16, 5
2020/6/12, 118, 52, 44, 16, 5, 5
2020/6/13, 119, 58, 46, 11, 5, 5
2020/6/14, 131, 38, 42, 12, 4, 4
2020/6/15, 64, 42, 41, 16, 12, 3
2020/6/16, 60, 42, 59, 17, 5, 4
2020/6/17, 72, 56, 105, 18, 5, 8
2020/6/18, 136, 49, 52, 18, 9, 7
2020/6/19, 107, 46, 129, 16, 15, 5
2020/6/20, 86, 73, 109, 13, 6, 10
2020/6/21, 158, 79, 103, 9, 5, 9
2020/6/22, 163, 45, 56, 7, 4, 6
2020/6/23, 97, 35, 41, 6, 3, 6
2020/6/24, 88, 32, 49, 8, 20, 6
2020/6/25, 82, 40, 50, 12, 10, 6
2020/6/26, 105, 31, 45, 10, 18, 6
2020/6/27, 81, 35, 61, 15, 9, 7
2020/6/28, 101, 52, 66, 16, 16, 9
2020/6/29, 120, 50, 62, 16, 5, 8
2020/6/30, 133, 55, 60, 18, 7, 7
2020/7/1, 123, 39, 50, 13, 7, 5
2020/5/2, 154, 62, 78, 8, 5, 5
2020/5/3, 139, 48, 31, 9, 21, 5
2020/5/4, 72, 42, 40, 12, 24, 4
2020/5/5, 72, 76, 49, 28, 46, 11
2020/5/6, 152, 76, 89, 20, 27, 11
2020/5/7, 139, 65, 84, 22, 7, 8
2020/5/8, 128, 32, 45, 11, 4, 5
2020/5/9, 83, 46, 53, 17, 35, 8
2020/5/10, 112, 103, 39, 16, 6, 5
2020/5/11, 93, 70, 40, 15, 5, 4
2020/5/12, 65, 53, 35, 9, 5, 6
2020/5/13, 54, 95, 74, 20, 14, 10
2020/5/14, 132, 79, 58, 12, 7, 6
2020/5/15, 120, 21, 47, 6, 6, 3
2020/5/16, 52, 26, 46, 8, 3, 4
2020/5/17, 78, 81, 40, 13, 4, 4
2020/5/18, 92, 91, 36, 12, 17, 7
2020/5/19, 75, 45, 87, 7, 11, 2
2020/5/20, 63, 51, 91, 16, 6, 7
2020/5/21, 97, 32, 48, 6, 4, 4
2020/5/22, 99, 37, 52, 10, 6, 6
2020/5/23, 91, 33, 43, 13, 5, 6
2020/5/24, 88, 30, 52, 13, 6, 6
2020/5/25, 67, 44, 46, 18, 15, 4
2020/5/26, 70, 52, 54, 18, 17, 5
2020/5/27, 94, 42, 42, 19, 12, 7
2020/5/28, 118, 37, 55, 18, 4, 4
2020/5/29, 107, 36, 56, 10, 5, 4
2020/5/30, 86, 45, 70, 8, 5, 4
2020/5/31, 110, 28, 41, 8, 5, 4
2020/6/1, 73, 36, 106, 15, 6, 5
2020/4/2, 60, 74, 33, 23, 9, 8
2020/4/3, 122, 102, 42, 21, 14, 7
2020/4/4, 114, 164, 36, 8, 21, 5
2020/4/5, 69, 67, 39, 24, 11, 8
2020/4/6, 95, 105, 38, 27, 43, 13
2020/4/7, 153, 79, 43, 11, 24, 8
2020/4/8, 86, 65, 42, 18, 24, 9
2020/4/9, 102, 62, 50, 18, 21, 7
2020/4/10, 106, 64, 48, 24, 18, 5
2020/4/11, 113, 71, 51, 14, 21, 6
2020/4/12, 104, 87, 47, 15, 30, 6
2020/4/13, 106, 78, 71, 28, 17, 8
2020/4/14, 153, 98, 111, 27, 11, 11
2020/4/15, 187, 81, 101, 13, 8, 6
2020/4/16, 167, 63, 75, 9, 12, 6
2020/4/17, 149, 49, 48, 14, 5, 6
2020/4/18, 151, 68, 61, 21, 8, 7
2020/4/19, 145, 80, 70, 18, 4, 10
2020/4/20, 180, 35, 37, 6, 5, 3
2020/4/21, 62, 60, 34, 4, 3, 2
2020/4/22, 39, 64, 33, 10, 4, 3
2020/4/23, 69, 52, 40, 12, 6, 3
2020/4/24, 66, 78, 41, 16, 13, 5
2020/4/25, 89, 46, 40, 8, 5, 4
2020/4/26, 65, 55, 42, 19, 13, 5
2020/4/27, 84, 59, 70, 19, 9, 8
2020/4/28, 109, 94, 77, 22, 8, 9
2020/4/29, 158, 94, 104, 18, 20, 11
2020/4/30, 171, 61, 83, 10, 5, 5
2020/5/1, 137, 70, 103, 11, 7, 6
2020/3/2, 117, 43, 35, 14, 27, 6
2020/3/3, 91, 32, 28, 9, 16, 4
2020/3/4, 81, 34, 32, 9, 17, 5
2020/3/5, 82, 60, 35, 17, 12, 9
2020/3/6, 131, 63, 37, 11, 11, 7
2020/3/7, 151, 74, 31, 15, 25, 7
2020/3/8, 168, 59, 39, 11, 8, 8
2020/3/9, 144, 61, 57, 14, 14, 8
2020/3/10, 132, 56, 32, 16, 28, 7
2020/3/11, 96, 67, 28, 17, 17, 8
2020/3/12, 116, 55, 57, 11, 14, 4
2020/3/13, 78, 66, 31, 17, 16, 5
2020/3/14, 97, 55, 35, 17, 21, 6
2020/3/15, 95, 73, 34, 10, 32, 4
2020/3/16, 64, 82, 32, 17, 11, 6
2020/3/17, 85, 48, 41, 17, 17, 6
2020/3/18, 88, 98, 42, 17, 12, 10
2020/3/19, 155, 69, 29, 10, 15, 6
2020/3/20, 73, 87, 30, 23, 15, 11
2020/3/21, 135, 66, 34, 20, 41, 8
2020/3/22, 103, 67, 40, 25, 22, 11
2020/3/23, 136, 65, 42, 20, 22, 7
2020/3/24, 110, 80, 47, 26, 18, 8
2020/3/25, 157, 55, 45, 12, 6, 4
2020/3/26, 113, 40, 31, 14, 25, 6
2020/3/27, 92, 67, 34, 11, 11, 4
2020/3/28, 64, 55, 33, 16, 12, 6
2020/3/29, 68, 63, 40, 18, 8, 7
2020/3/30, 106, 60, 49, 15, 10, 8
2020/3/31, 120, 80, 48, 12, 13, 8
2020/4/1, 125, 48, 37, 11, 11, 5
2020/2/2, 132, 68, 27, 14, 34, 10
2020/2/3, 139, 49, 29, 11, 22, 9
2020/2/4, 111, 47, 29, 8, 44, 9
2020/2/5, 68, 46, 27, 7, 30, 6
2020/2/6, 89, 57, 24, 13, 25, 8
2020/2/7, 126, 86, 31, 19, 31, 14
2020/2/8, 177, 68, 31, 15, 29, 11
2020/2/9, 154, 91, 34, 20, 25, 18
2020/2/10, 205, 128, 17, 21, 48, 27
2020/2/11, 212, 81, 33, 12, 11, 14
2020/2/12, 174, 65, 30, 12, 9, 10
2020/2/13, 154, 77, 24, 12, 16, 11
2020/2/14, 168, 103, 25, 4, 7, 7
2020/2/15, 80, 45, 30, 5, 8, 5
2020/2/16, 48, 62, 29, 6, 8, 4
2020/2/17, 48, 35, 30, 9, 27, 6
2020/2/18, 70, 68, 30, 20, 29, 13
2020/2/19, 153, 87, 34, 22, 48, 14
2020/2/20, 167, 113, 35, 26, 47, 17
2020/2/21, 222, 98, 29, 20, 21, 13
2020/2/22, 198, 41, 34, 11, 32, 6
2020/2/23, 77, 63, 31, 20, 15, 9
2020/2/24, 131, 85, 31, 18, 57, 11
2020/2/25, 137, 56, 28, 13, 46, 8
2020/2/26, 98, 44, 31, 11, 19, 5
2020/2/27, 91, 63, 36, 19, 29, 9
2020/2/28, 148, 64, 25, 16, 19, 13
2020/2/29, 155, 84, 18, 18, 41, 10
2020/3/1, 169, 52, 28, 12, 15, 5
2020/1/2, 180, 160, 16, 35, 75, 26
2020/1/3, 234, 246, 14, 46, 68, 32
2020/1/4, 323, 152, 23, 34, 71, 27
2020/1/5, 237, 138, 13, 36, 36, 24
2020/1/6, 239, 94, 13, 29, 28, 18
2020/1/7, 198, 49, 27, 13, 27, 8
2020/1/8, 95, 48, 28, 16, 18, 8
2020/1/9, 101, 107, 28, 28, 57, 21
2020/1/10, 183, 128, 23, 34, 61, 25
2020/1/11, 232, 77, 24, 20, 45, 11
2020/1/12, 141, 59, 24, 17, 36, 10
2020/1/13, 115, 87, 23, 22, 36, 13
2020/1/14, 161, 90, 22, 23, 50, 14
2020/1/15, 162, 122, 11, 30, 51, 24
2020/1/16, 219, 100, 25, 27, 56, 21
2020/1/17, 185, 132, 22, 34, 59, 21
2020/1/18, 229, 179, 14, 36, 47, 28
2020/1/19, 282, 70, 30, 20, 38, 13
2020/1/20, 135, 69, 28, 19, 30, 12
2020/1/21, 110, 71, 25, 20, 18, 11
2020/1/22, 123, 100, 21, 25, 46, 18
2020/1/23, 199, 104, 28, 16, 31, 13
2020/1/24, 180, 108, 35, 16, 47, 10
2020/1/25, 192, 393, 31, 27, 58, 23
2020/1/26, 532, 170, 32, 20, 53, 22
2020/1/27, 304, 111, 25, 23, 57, 18
2020/1/28, 205, 90, 32, 15, 44, 16
2020/1/29, 165, 60, 33, 5, 10, 4
2020/1/30, 74, 36, 29, 6, 15, 5
2020/1/31, 69, 64, 31, 15, 41, 8
2020/2/1, 155, 66, 32, 13, 33, 10
2019/10/2, 155, 170, 70, 8, 4, 7
2019/10/3, 141, 72, 40, 8, 16, 8
2019/10/4, 120, 44, 23, 6, 6, 3
2019/10/5, 27, 69, 29, 15, 20, 6
2019/10/6, 73, 64, 34, 22, 27, 12
2019/10/7, 88, 79, 36, 21, 9, 12
2019/10/8, 112, 38, 27, 11, 8, 6
2019/10/9, 37, 65, 57, 22, 10, 10
2019/10/10, 91, 58, 50, 23, 18, 13
2019/10/11, 144, 56, 23, 15, 39, 9
2019/10/12, 71, 58, 27, 15, 23, 7
2019/10/13, 88, 46, 21, 11, 13, 6
2019/10/14, 71, 47, 26, 16, 12, 7
2019/10/15, 74, 55, 29, 24, 13, 9
2019/10/16, 96, 90, 35, 28, 38, 20
2019/10/17, 138, 101, 34, 33, 42, 26
2019/10/18, 172, 102, 33, 33, 24, 21
2019/10/19, 177, 114, 50, 26, 16, 18
2019/10/20, 194, 120, 62, 24, 11, 16
2019/10/21, 218, 95, 24, 22, 37, 12
2019/10/22, 87, 88, 34, 29, 15, 17
2019/10/23, 141, 86, 39, 27, 19, 22
2019/10/24, 166, 70, 52, 18, 4, 13
2019/10/25, 148, 34, 26, 15, 11, 5
2019/10/26, 57, 66, 25, 23, 20, 10
2019/10/27, 118, 78, 32, 26, 11, 11
2019/10/28, 143, 83, 26, 16, 8, 8
2019/10/29, 110, 56, 26, 34, 11, 10
2019/10/30, 77, 124, 23, 41, 13, 19
2019/10/31, 161, 107, 29, 33, 22, 17
2019/11/1, 146, 71, 24, 21, 33, 11
2019/11/2, 110, 97, 13, 32, 43, 14
2019/11/3, 152, 101, 26, 10, 14, 6
2019/11/4, 57, 62, 24, 22, 24, 9
2019/11/5, 104, 73, 26, 19, 32, 11
2019/11/6, 109, 89, 21, 27, 39, 15
2019/11/7, 133, 52, 28, 13, 12, 8
2019/11/8, 71, 86, 25, 27, 28, 12
2019/11/9, 132, 121, 42, 29, 34, 18
2019/11/10, 201, 72, 48, 16, 21, 12
2019/11/11, 165, 57, 25, 21, 16, 10
2019/11/12, 91, 71, 26, 22, 14, 12
2019/11/13, 119, 61, 24, 13, 15, 7
2019/11/14, 76, 69, 23, 24, 28, 9
2019/11/15, 104, 60, 23, 16, 33, 10
2019/11/16, 93, 74, 14, 21, 59, 12
2019/11/17, 131, 92, 11, 24, 37, 15
2019/11/18, 168, 82, 24, 10, 14, 8
2019/11/19, 73, 79, 25, 19, 17, 14
2019/11/20, 113, 106, 21, 28, 21, 18
2019/11/21, 160, 130, 18, 33, 24, 18
2019/11/22, 180, 76, 30, 23, 13, 10
2019/11/23, 153, 60, 18, 21, 22, 10
2019/11/24, 137, 41, 21, 9, 9, 4
2019/11/25, 52, 65, 21, 19, 24, 10
2019/11/26, 112, 86, 20, 21, 16, 13
2019/11/27, 136, 54, 24, 11, 12, 9
2019/11/28, 58, 73, 19, 24, 35, 12
2019/11/29, 153, 114, 21, 32, 49, 18
2019/11/30, 191, 82, 18, 26, 21, 16
2019/12/1, 187, 83, 22, 27, 44, 14
2019/12/2, 154, 45, 27, 14, 12, 8
2019/12/3, 75, 78, 19, 23, 26, 14
2019/12/4, 137, 67, 19, 19, 38, 9
2019/12/5, 113, 94, 22, 25, 39, 11
2019/12/6, 118, 113, 14, 29, 32, 15
2019/12/7, 172, 90, 23, 27, 70, 16
2019/12/8, 153, 137, 24, 31, 24, 21
2019/12/9, 195, 214, 15, 40, 48, 29
2019/12/10, 330, 267, 5, 37, 51, 35
2019/12/11, 312, 72, 20, 22, 23, 10
2019/12/12, 132, 72, 18, 26, 28, 13
2019/12/13, 108, 64, 24, 24, 24, 10
2019/12/14, 109, 50, 24, 19, 36, 9
2019/12/15, 99, 53, 21, 24, 24, 11
2019/12/16, 103, 65, 14, 27, 22, 18
2019/12/17, 167, 42, 27, 9, 12, 6
2019/12/18, 59, 60, 26, 21, 37, 13
2019/12/19, 130, 76, 23, 21, 36, 16
2019/12/20, 141, 68, 24, 25, 20, 13
2019/12/21, 126, 79, 19, 28, 39, 13
2019/12/22, 156, 77, 17, 25, 50, 12
2019/12/23, 164, 56, 26, 17, 27, 8
2019/12/24, 134, 87, 21, 31, 42, 15
2019/12/25, 189, 88, 18, 29, 46, 17
2019/12/26, 178, 84, 24, 23, 63, 14
2019/12/27, 155, 134, 11, 33, 43, 24
2019/12/28, 231, 296, 6, 40, 69, 37
2019/12/29, 362, 222, 14, 26, 63, 25
2019/12/30, 238, , , , , 
2019/7/2, 61, 37, 58, 19, 4, 9
2019/7/3, 71, 40, 79, 14, 4, 9
2019/7/4, 92, 63, 107, 9, 4, 10
2019/7/5, 166, 68, 101, 9, 3, 10
2019/7/6, 169, 52, 60, 13, 8, 10
2019/7/7, 129, 55, 50, 17, 28, 12
2019/7/8, 144, 46, 64, 14, 13, 7
2019/7/9, 101, 41, 46, 14, 4, 6
2019/7/10, 104, 46, 54, 17, 3, 6
2019/7/11, 103, 33, 41, 6, 3, 5
2019/7/12, 70, 53, 94, 11, 4, 10
2019/7/13, 155, 62, 65, 16, 6, 9
2019/7/14, 138, 48, 58, 17, 10, 10
2019/7/15, 106, 57, 56, 14, 13, 12
2019/7/16, 152, 42, 44, 6, 3, 9
2019/7/17, 128, 43, 41, 9, 2, 9
2019/7/18, 140, 37, 40, 5, 3, 6
2019/7/19, 112, 55, 45, 8, 3, 7
2019/7/20, 129, 38, 34, 9, 3, 6
2019/7/21, 89, 57, 105, 11, 3, 11
2019/7/22, 156, 70, 115, 10, 2, 14
2019/7/23, 171, 42, 68, 6, 2, 8
2019/7/24, 126, 45, 73, 10, 1, 11
2019/7/25, 137, 53, 72, 11, 4, 11
2019/7/26, 148, 48, 67, 15, 4, 9
2019/7/27, 103, 57, 60, 8, 3, 8
2019/7/28, 143, 31, 43, 5, 3, 6
2019/7/29, 83, 43, 79, 7, 4, 8
2019/7/30, 110, 36, 96, 8, 3, 11
2019/7/31, 102, 63, 105, 16, 4, 11
2019/8/1, 152, 53, 82, 14, 4, 8
2019/8/2, 128, 31, 37, 8, 5, 8
2019/8/3, 93, 24, 35, 9, 2, 6
2019/8/4, 67, 33, 37, 12, 3, 5
2019/8/5, 80, 32, 31, 7, 3, 5
2019/8/6, 102, 21, 31, 9, 3, 7
2019/8/7, 70, 33, 31, 17, 3, 9
2019/8/8, 104, 38, 63, 9, 5, 6
2019/8/9, 101, 43, 42, 12, 4, 7
2019/8/10, 122, 27, 27, 6, 3, 7
2019/8/11, 76, 32, 21, 10, 26, 12
2019/8/12, 90, 33, 20, 8, 44, 10
2019/8/13, 71, 19, 18, 5, 16, 6
2019/8/14, 56, 26, 21, 7, 13, 11
2019/8/15, 68, 42, 37, 12, 13, 8
2019/8/16, 96, 29, 36, 11, 6, 6
2019/8/17, 59, 29, 33, 12, 7, 6
2019/8/18, 58, 39, 47, 14, 7, 7
2019/8/19, 68, 56, 107, 14, 8, 11
2019/8/20, 112, 45, 74, 11, 5, 6
2019/8/21, 117, 35, 48, 11, 5, 6
2019/8/22, 79, 49, 34, 18, 6, 6
2019/8/23, 70, 43, 28, 14, 8, 5
2019/8/24, 62, 52, 45, 14, 16, 8
2019/8/25, 90, 53, 92, 16, 7, 10
2019/8/26, 98, 49, 65, 11, 6, 9
2019/8/27, 121, 39, 53, 13, 13, 7
2019/8/28, 121, 47, 65, 13, 15, 7
2019/8/29, 81, 30, 27, 11, 9, 5
2019/8/30, 57, 37, 28, 13, 7, 5
2019/8/31, 56, 55, 83, 18, 13, 10
2019/9/1, 93, 53, 78, 20, 8, 12
2019/9/2, 132, 51, 103, 18, 10, 11
2019/9/3, 116, 65, 104, 13, 16, 13
2019/9/4, 159, 115, 79, 25, 20, 13
2019/9/5, 136, 43, 54, 14, 12, 10
2019/9/6, 110, 75, 110, 18, 18, 16
2019/9/7, 177, 67, 59, 17, 11, 10
2019/9/8, 159, 85, 102, 23, 16, 14
2019/9/9, 175, 58, 33, 17, 39, 10
2019/9/10, 103, 49, 48, 16, 29, 5
2019/9/11, 85, 55, 29, 16, 32, 8
2019/9/12, 71, 44, 46, 17, 18, 16
2019/9/13, 78, 30, 43, 13, 14, 8
2019/9/14, 89, 32, 33, 15, 11, 5
2019/9/15, 53, 59, 88, 20, 8, 12
2019/9/16, 127, 38, 28, 12, 15, 3
2019/9/17, 51, 64, 37, 18, 16, 8
2019/9/18, 79, 32, 30, 11, 12, 3
2019/9/19, 47, 70, 30, 28, 29, 14
2019/9/20, 115, 68, 68, 25, 28, 17
2019/9/21, 144, 65, 42, 24, 38, 14
2019/9/22, 112, 54, 35, 21, 33, 9
2019/9/23, 96, 47, 42, 22, 20, 8
2019/9/24, 75, 50, 34, 20, 12, 6
2019/9/25, 79, 53, 54, 21, 12, 12
2019/9/26, 97, 55, 83, 17, 5, 9
2019/9/27, 136, 53, 58, 19, 5, 9
2019/9/28, 127, 52, 85, 13, 5, 8
2019/9/29, 118, 78, 64, 25, 22, 11
2019/9/30, 157, 85, 106, 13, 5, 12
2019/10/1, 178, 75, 85, 9, 5, 10
2019/4/2, 71, 53, 41, 22, 18, 8
2019/4/3, 82, 74, 45, 23, 9, 12
2019/4/4, 110, 245, 67, 23, 23, 14
2019/4/5, 170, 234, 40, 12, 20, 5
2019/4/6, 90, 79, 49, 25, 44, 8
2019/4/7, 112, 58, 41, 16, 33, 7
2019/4/8, 93, 54, 42, 19, 24, 8
2019/4/9, 92, 92, 39, 22, 46, 10
2019/4/10, 125, 52, 49, 15, 12, 6
2019/4/11, 74, 74, 47, 27, 18, 10
2019/4/12, 119, 148, 86, 20, 9, 12
2019/4/13, 164, 109, 71, 19, 19, 13
2019/4/14, 189, 95, 44, 15, 7, 8
2019/4/15, 98, 89, 52, 22, 9, 11
2019/4/16, 116, 77, 72, 14, 7, 11
2019/4/17, 156, 89, 78, 10, 5, 9
2019/4/18, 140, 145, 47, 11, 27, 4
2019/4/19, 93, 52, 46, 17, 18, 5
2019/4/20, 81, 45, 36, 20, 8, 14
2019/4/21, 100, 67, 50, 21, 17, 12
2019/4/22, 117, 73, 52, 16, 7, 9
2019/4/23, 133, 50, 37, 10, 6, 6
2019/4/24, 138, 67, 34, 9, 8, 5
2019/4/25, 75, 55, 44, 11, 30, 4
2019/4/26, 68, 50, 44, 17, 13, 5
2019/4/27, 77, 92, 48, 26, 8, 8
2019/4/28, 129, 45, 56, 8, 6, 8
2019/4/29, 124, 41, 45, 9, 7, 6
