date, pm25, pm10, o3, no2, so2, co
2020/7/2, 60, 22, 24, 4, 3, 5
2020/7/3, 34, 17, 22, 5, 3, 5
2020/7/4, 33, 22, 10, 6, 5, 4
2020/7/5, 29, , , , , 
2020/6/2, 47, 30, 25, 5, 3, 3
2020/6/3, 47, 25, 24, 4, 2, 3
2020/6/4, 29, 30, 26, 5, 3, 3
2020/6/5, 52, 22, 27, 5, 2, 4
2020/6/6, 41, 31, 30, 8, 3, 6
2020/6/7, 57, 24, 27, 4, 2, 4
2020/6/8, 40, 26, 33, 4, 2, 
2020/6/9, 50, 24, 29, 4, 2, 4
2020/6/10, 46, 25, 23, 5, 2, 4
2020/6/11, 50, 22, 20, 4, 2, 3
2020/6/12, 42, 21, 24, 3, 2, 4
2020/6/13, 42, 22, 24, 3, 2, 5
2020/6/14, 41, 20, 23, 4, 3, 5
2020/6/15, 50, 21, 31, 3, 3, 4
2020/6/16, 43, 13, 25, 4, 2, 4
2020/6/17, 36, 26, 21, 4, 3, 4
2020/6/18, 45, 22, 19, 4, 3, 4
2020/6/19, 29, 20, 16, 5, 3, 4
2020/6/20, 40, 21, 15, 5, 3, 4
2020/6/21, 35, 23, 24, 3, 3, 4
2020/6/22, 38, 28, 29, 4, 2, 
2020/6/23, 51, 29, 26, 4, 3, 4
2020/6/24, 51, 27, 31, 4, 3, 
2020/6/25, 49, 29, 29, 4, 3, 5
2020/6/26, 52, 30, 26, 3, 3, 4
2020/6/27, 56, 30, 23, 3, 3, 
2020/6/28, 57, 24, 25, 3, 3, 3
2020/6/29, 42, 18, 21, 4, 3, 4
2020/6/30, 31, 26, 25, 4, , 4
2020/7/1, 45, 34, 25, 5, 4, 6
2020/5/2, 72, 31, 15, 6, 4, 3
2020/5/3, 58, 21, 15, 2, 4, 2
2020/5/4, 50, 20, 16, 1, 3, 2
2020/5/5, 38, 21, 17, 3, 4, 2
2020/5/6, 44, 22, 19, 5, 5, 2
2020/5/7, 41, 19, 16, 2, 3, 2
2020/5/8, 45, 22, 21, 3, 3, 2
2020/5/9, 46, 34, 26, 6, 3, 3
2020/5/10, 64, 31, 27, 4, 3, 3
2020/5/11, 60, 27, 31, 5, 3, 3
2020/5/12, 53, 29, 43, 5, 4, 6
2020/5/13, 65, 39, 30, 6, 4, 4
2020/5/14, 80, 20, 22, 4, 3, 3
2020/5/15, 43, 18, 18, 2, 3, 3
2020/5/16, 37, 19, 20, 4, 3, 4
2020/5/17, 40, 18, 31, 5, 4, 4
2020/5/18, 42, 35, 43, 8, 5, 6
2020/5/19, 74, 44, 51, 8, 5, 7
2020/5/20, 88, 30, 39, 5, 3, 4
2020/5/21, 64, 31, 39, 3, 3, 4
2020/5/22, 61, 21, 29, 4, 3, 5
2020/5/23, 52, 38, 44, 7, 3, 7
2020/5/24, 79, 54, 49, 9, 7, 8
2020/5/25, 112, 24, 31, 5, 2, 4
2020/5/26, 53, 24, 34, 5, 2, 5
2020/5/27, 44, 30, 45, 6, 3, 7
2020/5/28, 60, 45, 56, 7, 3, 7
2020/5/29, 90, 40, 44, 5, 4, 6
2020/5/30, 76, 22, 27, 4, 2, 2
2020/5/31, 42, 21, 27, 2, , 2
2020/6/1, 36, 27, 32, 2, , 3
2020/4/2, 62, 30, 3, 9, 3, 7
2020/4/3, 71, 18, 11, 7, 3, 6
2020/4/4, 42, 14, 15, 5, 3, 7
2020/4/5, 33, 10, 22, 4, 3, 6
2020/4/6, 37, 18, 25, 4, 3, 5
2020/4/7, 54, 42, 29, 5, 4, 6
2020/4/8, 114, 56, 13, 12, 5, 8
2020/4/9, 111, 61, 23, 13, 5, 6
2020/4/10, 120, 50, 26, 13, 3, 5
2020/4/11, 90, 49, 23, 13, 3, 4
2020/4/12, 87, 31, 30, 6, 3, 3
2020/4/13, 48, 45, 24, 9, 3, 3
2020/4/14, 95, 47, 46, 10, 9, 4
2020/4/15, 99, 52, 54, 10, 5, 4
2020/4/16, 103, 44, 41, 11, 6, 3
2020/4/17, 86, 42, 28, 10, 6, 3
2020/4/18, 72, 44, 18, 12, 3, 5
