date, pm25, pm10, o3, no2, so2, co
2020/7/2, 43, 28, , 19, 4, 6
2020/7/3, 55, , , , , 
2020/6/2, 64, 24, 10, 15, 2, 7
2020/6/3, 53, 29, 19, 15, 2, 7
2020/6/4, 59, 27, 31, 9, 2, 5
2020/6/5, 50, 21, 28, 11, 2, 5
2020/6/6, 47, 26, 20, 17, 2, 6
2020/6/7, 90, 22, 12, 18, 2, 7
2020/6/8, 60, 23, 9, 18, 2, 7
2020/6/9, 54, 23, 17, 15, 2, 6
2020/6/10, 51, 30, 51, 19, 2, 7
2020/6/11, 68, 27, 51, 11, 2, 5
2020/6/12, 50, 24, 60, 9, 3, 5
2020/6/13, 50, 26, 33, 13, 3, 5
2020/6/14, 51, 14, 23, 7, 3, 4
2020/6/15, 31, 23, 22, 14, 3, 5
2020/6/16, 49, 16, 24, 10, 2, 5
2020/6/17, 34, 20, 26, 12, 2, 5
2020/6/18, 40, 22, 32, 12, 2, 5
2020/6/19, 81, 22, 39, 10, 2, 4
2020/6/20, 47, 22, , 9, 3, 4
2020/6/21, 41, 19, 14, 8, 3, 4
2020/6/22, 36, 24, 41, 7, 2, 5
2020/6/23, 44, 25, 40, 8, 2, 5
2020/6/24, 42, 28, 45, 8, 2, 5
2020/6/25, 55, 20, 24, 7, 2, 4
2020/6/26, 36, 20, 29, 8, 2, 4
2020/6/27, 44, 19, 32, 6, 3, 4
2020/6/28, 37, 21, 37, 8, 3, 4
2020/6/29, 43, 23, , 11, 3, 4
2020/6/30, 45, 23, , 10, 3, 4
2020/7/1, 47, 23, , 14, 3, 5
2020/5/2, 71, 41, 45, 12, 4, 5
2020/5/3, 73, 38, 53, 11, 4, 5
2020/5/4, 73, 34, 62, 8, 3, 5
2020/5/5, 62, 30, 46, 8, 3, 4
2020/5/6, 53, 26, 31, 8, 3, 4
2020/5/7, 51, 23, 27, 8, 3, 5
2020/5/8, 47, 22, 26, 8, 2, 5
2020/5/9, 41, 28, 40, 9, 2, 5
2020/5/10, 50, 29, 4, 14, 2, 5
2020/5/11, 59, 36, 60, 18, 2, 6
2020/5/12, 70, 39, 44, 17, 2, 7
2020/5/13, 77, 56, 79, 25, 3, 8
2020/5/14, 123, 41, 37, 13, 2, 6
2020/5/15, 77, 33, 43, 9, 2, 5
2020/5/16, 60, 28, 52, 11, 2, 4
2020/5/17, 52, 34, 55, 17, 2, 5
2020/5/18, 74, 39, 36, 23, 3, 6
2020/5/19, 73, 42, 60, 18, 2, 6
2020/5/20, 75, 35, 41, 15, 3, 6
2020/5/21, 66, 24, 32, 17, 2, 6
2020/5/22, 90, 16, 21, 15, 2, 7
2020/5/23, 46, 39, 52, 16, 2, 7
2020/5/24, 75, 37, 57, 17, 2, 7
2020/5/25, 77, 25, 34, 17, 3, 6
2020/5/26, 50, 28, 43, 11, 2, 6
2020/5/27, 59, 31, 30, 16, 2, 8
2020/5/28, 64, 52, 57, 21, 3, 9
2020/5/29, 109, 41, 34, 20, 3, 8
2020/5/30, 89, 22, 28, 14, 2, 6
2020/5/31, 52, 26, 25, 15, 2, 7
2020/6/1, 57, 28, 10, 19, 2, 9
2020/4/2, 49, 43, 2, 16, 2, 8
2020/4/3, 80, 25, 2, 17, 2, 8
2020/4/4, 54, 20, , 16, 3, 7
2020/4/5, 47, 17, , 15, 2, 5
2020/4/6, 51, 19, , 19, 2, 7
2020/4/7, 56, 35, 1, 24, 3, 7
2020/4/8, 73, 68, 37, 33, 4, 9
2020/4/9, 125, 62, 103, 36, 4, 9
2020/4/10, 127, 48, 50, 27, 4, 5
2020/4/11, 85, 55, 16, 27, 3, 6
2020/4/12, 100, 20, 45, 11, 3, 5
2020/4/13, 39, 36, 48, 19, 3, 4
2020/4/14, 74, 75, 34, 49, 7, 7
