date, pm25, pm10, o3, no2, so2, co
2020/7/2, 122, 48, 42, 21, 2, 7
2020/7/3, 111, 23, 49, 9, 1, 6
2020/7/4, 72, , , , , 
2020/6/2, 90, 51, 67, 12, 1, 5
2020/6/3, 77, 66, 73, 11, 2, 3
2020/6/4, 73, 49, 64, 11, 2, 4
2020/6/5, 69, 28, 32, 11, 2, 4
2020/6/6, 51, 40, 69, 14, 3, 5
2020/6/7, 60, 56, 62, 14, 3, 4
2020/6/8, 71, 51, 48, 11, 3, 4
2020/6/9, 74, 50, 57, 11, 3, 4
2020/6/10, 81, 47, 25, 21, 2, 6
2020/6/11, 86, 44, 66, 14, 3, 6
2020/6/12, 100, 33, 27, 14, 2, 5
2020/6/13, 63, 15, 21, 16, 2, 4
2020/6/14, 31, 19, 35, 14, 2, 4
2020/6/15, 42, 23, 30, 13, 2, 4
2020/6/16, 41, 30, 34, 13, 2, 5
2020/6/17, 57, 49, 43, 9, 2, 6
2020/6/18, 112, 17, 32, 7, 1, 3
2020/6/19, 50, 28, 59, 13, 2, 3
2020/6/20, 54, 42, 34, 18, 3, 5
2020/6/21, 85, 21, 39, 14, 2, 4
2020/6/22, 60, 19, 21, 14, 2, 5
2020/6/23, 56, 21, 24, 15, 2, 6
2020/6/24, 49, 34, 55, 18, 2, 5
2020/6/25, 63, 47, 78, 17, 2, 6
2020/6/26, 85, 36, 41, 9, 2, 5
2020/6/27, 69, 23, 42, 9, 2, 3
2020/6/28, 39, 20, 31, 11, 2, 4
2020/6/29, 38, 18, 38, 7, 2, 4
2020/6/30, 36, 36, 55, 15, 2, 4
2020/7/1, 68, 59, 73, 19, 2, 7
2020/5/2, 90, 64, 64, 20, 3, 6
2020/5/3, 122, 72, 81, 23, 3, 4
2020/5/4, 115, 75, 75, 27, 4, 6
2020/5/5, 120, 36, 21, 8, 2, 3
2020/5/6, 75, 48, 37, 13, 3, 5
2020/5/7, 96, 55, 46, 16, 4, 6
2020/5/8, 124, 38, 27, 12, 3, 5
2020/5/9, 91, 27, 31, 5, 1, 2
2020/5/10, 67, 40, 50, 12, 2, 4
2020/5/11, 88, 61, 55, 18, 2, 5
2020/5/12, 92, 71, 52, 23, 3, 2
2020/5/13, 80, 68, 83, 28, 6, 5
2020/5/14, 117, 55, 51, 25, 4, 6
2020/5/15, 112, 45, 57, 19, 1, 6
2020/5/16, 100, 40, 65, 16, 1, 5
2020/5/17, 73, 46, 57, 16, 2, 5
2020/5/18, 79, 72, 46, 9, 2, 3
2020/5/19, 86, 68, 78, 22, 3, 3
2020/5/20, 77, 67, 96, 21, 5, 5
2020/5/21, 97, 70, 116, 22, 5, 5
2020/5/22, 112, 46, 81, 17, 4, 5
2020/5/23, 75, 54, 82, 16, 3, 8
2020/5/24, 87, 65, 76, 17, 3, 5
2020/5/25, 97, 54, 55, 22, 3, 6
2020/5/26, 69, 58, 97, 18, 2, 6
2020/5/27, 121, 60, 87, 15, 2, 4
2020/5/28, 98, 70, 76, 17, 5, 4
2020/5/29, 98, 53, 41, 14, 3, 5
2020/5/30, 115, 46, 53, 14, 3, 4
2020/5/31, 93, 51, 57, 17, 2, 5
2020/6/1, 96, 57, 64, 20, 2, 6
2020/4/2, 86, 55, 45, 17, 3, 5
2020/4/3, 103, 50, 57, 16, 4, 4
2020/4/4, 85, 64, 66, 24, 4, 5
2020/4/5, 126, 72, 37, 18, 3, 13
2020/4/6, 75, 58, 47, 24, 6, 5
2020/4/7, 93, 56, 38, 33, 8, 6
2020/4/8, 86, 63, 49, 34, 7, 6
2020/4/9, 94, 63, 65, 39, 7, 5
2020/4/10, 97, 66, 52, 23, 3, 5
2020/4/11, 117, 32, 39, 9, 1, 4
2020/4/12, 79, 53, 52, 9, 2, 5
2020/4/13, 101, 64, 61, 23, 4, 5
2020/4/14, 90, 64, 61, 27, 5, 5
2020/4/15, 100, 55, 52, 21, 4, 4
2020/4/16, 79, 65, 56, 19, 5, 4
2020/4/17, 93, 92, 34, 23, 6, 6
2020/4/18, 144, 68, 47, 20, 3, 7
2020/4/19, 125, 36, 48, 14, 2, 6
2020/4/20, 88, 47, 42, 22, 2, 9
