date, pm25, pm10, o3, no2, so2, co
2020/7/2, 100, 40, 38, 14, 6, 5
2020/7/3, 89, 27, 37, 11, 6, 4
2020/7/4, 59, 9, 14, 11, 2, 3
2020/7/5, 25, , , , , 
2020/6/2, 63, 48, 40, 14, 15, 3
2020/6/3, 87, 26, 28, 8, 3, 4
2020/6/4, 59, 64, 32, 12, 12, 4
2020/6/5, 62, 29, 27, 12, 11, 5
2020/6/6, 61, 41, 54, 12, 9, 5
2020/6/7, 84, 36, 42, 9, 5, 5
2020/6/8, 70, 29, 34, 10, 8, 7
2020/6/9, 68, 23, 28, 10, 6, 4
2020/6/10, 45, 28, 32, 15, 6, 5
2020/6/11, 57, 35, 39, 11, 8, 5
2020/6/12, 73, 43, 63, 14, 9, 5
2020/6/13, 79, 44, 55, 14, 10, 4
2020/6/14, 85, 33, 37, 12, 9, 3
2020/6/15, 54, 30, 39, 9, 7, 4
2020/6/16, 47, 38, 45, 11, 10, 4
2020/6/17, 61, 38, 44, 9, 9, 5
2020/6/18, 53, 35, 41, 9, 10, 4
2020/6/19, 61, 14, 40, 8, 3, 5
2020/6/20, 52, 36, 32, 10, 3, 5
2020/6/21, 81, 49, 67, 10, 7, 6
2020/6/22, 108, 55, 54, 14, 7, 8
2020/6/23, 102, 42, 21, 16, 12, 7
2020/6/24, 78, 24, 28, 11, 3, 8
2020/6/25, 53, 17, 33, 11, 3, 5
2020/6/26, 56, 15, 29, 6, 4, 3
2020/6/27, 48, 36, 47, 9, 7, 4
2020/6/28, 71, 41, 47, 13, 9, 3
2020/6/29, 76, 45, 56, 13, 10, 4
2020/6/30, 83, 31, 33, 11, 5, 5
2020/7/1, 76, 43, 36, 14, 6, 5
2020/5/2, 139, 72, 61, 16, 13, 5
2020/5/3, 136, 68, 72, 20, 15, 7
2020/5/4, 115, 73, 77, 23, 11, 6
2020/5/5, 124, 39, 68, 10, 4, 4
2020/5/6, 69, 47, 43, 11, 4, 9
2020/5/7, 83, 55, 39, 16, 8, 9
2020/5/8, 115, 49, 31, 13, 7, 7
2020/5/9, 91, 26, 41, 8, 2, 7
2020/5/10, 74, 49, 58, 10, 3, 6
2020/5/11, 96, 62, 82, 18, 5, 6
2020/5/12, 124, 74, 71, 13, 7, 3
2020/5/13, 82, 76, 91, 28, 9, 6
2020/5/14, 101, 56, 48, 17, 7, 6
2020/5/15, 96, 20, 32, 13, 2, 5
2020/5/16, 49, 40, 40, 15, 4, 5
2020/5/17, 72, 55, 54, 14, 9, 6
2020/5/18, 121, 69, 78, 13, 7, 5
