date, pm25, pm10, o3, no2, so2, co
2020/7/2, 122, 44, , 7, 3, 3
2020/7/3, 71, , , , , 
2020/6/2, 107, 49, , 14, 5, 7
2020/6/3, 85, 45, , 13, 5, 6
2020/6/4, 75, 50, , 16, 6, 8
2020/6/5, 68, 36, , 16, 4, 10
2020/6/6, 63, 36, , 10, 4, 7
2020/6/7, 68, 38, , 8, 4, 7
2020/6/8, 59, 43, , 7, 4, 5
2020/6/9, 79, 36, , 10, 3, 4
2020/6/10, 76, 47, , 16, 4, 8
2020/6/11, 94, 49, , 16, 4, 7
2020/6/12, 98, 48, , 14, 3, 8
2020/6/13, 96, 17, , 16, 3, 8
2020/6/14, 32, 23, , 12, 2, 7
2020/6/15, 49, 25, , 19, 3, 9
2020/6/16, 61, 25, , 12, 2, 7
2020/6/17, 66, 41, , 14, 3, 10
2020/6/18, 108, 29, , 12, 2, 8
2020/6/19, 69, 27, , 11, 3, 7
2020/6/20, 66, 42, , 13, 3, 8
2020/6/21, 116, 24, , 11, 3, 8
2020/6/22, 70, 23, , 10, 3, 6
2020/6/23, 65, 23, , 13, 2, 9
2020/6/24, 61, 34, , 11, 2, 6
2020/6/25, 84, 58, , 21, 2, 8
2020/6/26, 146, 45, , 10, 2, 7
2020/6/27, 103, 28, , 10, 2, 7
2020/6/28, 53, 26, , 11, 2, 7
2020/6/29, 63, 20, , 8, 1, 5
2020/6/30, 45, 32, , 14, 2, 7
2020/7/1, 66, 61, , 12, 2, 6
2020/5/2, 105, 50, , 15, 6, 9
2020/5/3, 116, 68, , 23, 10, 11
2020/5/4, 132, 76, , 26, 6, 9
2020/5/5, 136, 41, , 11, 1, 4
2020/5/6, 93, 47, , 12, 3, 4
2020/5/7, 84, 51, , 12, 2, 4
2020/5/8, 97, 39, , 11, 3, 6
2020/5/9, 79, 27, , 8, 2, 5
2020/5/10, 66, 53, , 16, 2, 7
2020/5/11, 100, 71, , 22, 4, 8
2020/5/12, 101, 62, , 26, 6, 7
2020/5/13, 80, 79, , 14, 5, 7
2020/5/14, 92, 59, , 21, 4, 8
2020/5/15, 116, 52, , 19, 3, 8
2020/5/16, 115, 58, , 25, 4, 8
2020/5/17, 114, 57, , 24, 7, 9
2020/5/18, 92, 62, , 11, 5, 5
2020/5/19, 86, 57, , 23, 5, 5
2020/5/20, 78, 66, , 28, 5, 6
2020/5/21, 96, 62, , 12, 4, 6
2020/5/22, 97, 45, , 9, 3, 4
2020/5/23, 77, 51, , 12, 3, 8
2020/5/24, 92, 57, , 15, 3, 6
2020/5/25, 101, 53, , 23, 4, 7
2020/5/26, 99, 54, , 12, 3, 8
2020/5/27, 121, 59, , 18, 9, 12
2020/5/28, 111, 66, , 21, 8, 11
2020/5/29, 112, 64, , 20, 6, 8
2020/5/30, 114, 31, , 10, 3, 8
2020/5/31, 74, 57, , 19, 4, 13
2020/6/1, 116, 62, , 25, 3, 7
2020/4/2, 118, 48, , 20, 4, 8
2020/4/3, 74, 55, , 23, 5, 9
2020/4/4, 95, 74, , 28, 5, 11
2020/4/5, 128, 55, , 18, 4, 7
2020/4/6, 62, 60, , 24, 4, 9
2020/4/7, 90, 59, , 35, 4, 9
2020/4/8, 96, 59, , 33, 5, 9
2020/4/9, 89, 68, , 29, 5, 8
2020/4/10, 110, 67, , 18, 4, 8
2020/4/11, 110, 30, , 12, 2, 6
2020/4/12, 74, 61, , 13, 4, 7
2020/4/13, 118, 61, , 22, 5, 10
2020/4/14, 115, 72, , 35, 5, 10
2020/4/15, 133, 62, , 27, 7, 10
2020/4/16, 95, 69, , 33, 6, 10
2020/4/17, 97, 83, , 29, 6, 9
2020/4/18, 129, 66, , 20, 4, 9
2020/4/19, 127, 32, , 13, 9, 7
2020/4/20, 72, 54, , 25, 9, 10
2020/4/21, 112, 46, , 16, 4, 8
2020/4/22, 80, 57, , 18, 5, 7
2020/4/23, 101, 66, , 24, 3, 7
2020/4/24, 97, 71, , 31, 3, 9
2020/4/25, 93, 62, , 23, 4, 11
2020/4/26, 84, 79, , 12, 5, 9
2020/4/27, 111, 55, , 18, 4, 8
2020/4/28, 77, 56, , 20, 4, 7
2020/4/29, 92, 55, , 22, 4, 7
2020/4/30, 87, 66, , 28, 9, 7
2020/5/1, 124, 55, , 20, 6, 6
2020/3/2, 98, 41, , 12, 2, 6
2020/3/3, 103, 49, , 17, 4, 7
2020/3/4, 101, 59, , 17, 3, 5
2020/3/5, 136, 45, , 12, 3, 7
2020/3/6, 93, 52, , 18, 3, 5
2020/3/7, 109, 58, , 20, 4, 8
2020/3/8, 136, 68, , 19, 3, 7
2020/3/9, 127, 30, , 14, 2, 5
2020/3/10, 58, 38, , 14, 2, 6
2020/3/11, 106, 70, , 26, 4, 11
2020/3/12, 144, 73, , 22, 4, 9
2020/3/13, 146, 72, , 23, 2, 6
2020/3/14, 127, 47, , 15, 4, 7
2020/3/15, 77, 66, , 29, 5, 12
2020/3/16, 93, 58, , 20, 4, 9
2020/3/17, 88, 57, , 29, 5, 8
2020/3/18, 82, 74, , 37, 10, 11
2020/3/19, 129, 79, , 24, 6, 10
2020/3/20, 89, 74, , 32, 6, 8
2020/3/21, 86, 74, , 33, 7, 11
2020/3/22, 119, 61, , 15, 3, 5
2020/3/23, 105, 44, , 20, 4, 7
2020/3/24, 67, 45, , 22, 4, 5
2020/3/25, 64, 52, , 27, 4, 6
2020/3/26, 89, 44, , 27, 2, 9
2020/3/27, 116, 27, , 12, 2, 7
2020/3/28, 40, 29, , 15, 2, 8
2020/3/29, 42, 27, , 17, 2, 6
2020/3/30, 53, 29, , 20, 2, 6
2020/3/31, 70, 47, , 25, 3, 9
2020/4/1, 91, 50, , 22, 3, 9
2020/2/2, 126, 25, , 13, 2, 7
2020/2/3, 76, 69, , 20, 2, 9
2020/2/4, 160, 52, , 12, 2, 7
2020/2/5, 128, 53, , 13, 2, 6
2020/2/6, 128, 33, , 7, 1, 5
2020/2/7, 84, 25, , 10, , 4
2020/2/8, 85, 43, , 12, 1, 4
2020/2/9, 122, 38, , 13, 2, 6
2020/2/10, 103, 40, , 14, 2, 7
2020/2/11, 110, 33, , 13, 2, 6
2020/2/12, 87, 46, , 19, 4, 12
2020/2/13, 109, 43, , 13, 2, 8
2020/2/14, 114, 22, , 11, 2, 5
2020/2/15, 71, 13, , 11, 1, 6
2020/2/16, 61, 36, , 6, 2, 10
2020/2/17, 88, 27, , 7, 2, 6
2020/2/18, 67, 26, , 14, 3, 6
2020/2/19, 71, 39, , 12, 3, 9
2020/2/20, 98, 47, , 17, 3, 5
2020/2/21, 119, 41, , 16, 3, 4
2020/2/22, 93, 74, , 19, 5, 5
2020/2/23, 143, 82, , 17, 3, 5
2020/2/24, 144, 68, , 21, 6, 8
2020/2/25, 132, 78, , 22, 3, 11
2020/2/26, 163, 46, , 7, 2, 9
2020/2/27, 104, 55, , 14, 3, 9
2020/2/28, 104, 29, , 16, 2, 4
2020/2/29, 75, 27, , 17, 1, 4
2020/3/1, 80, 38, , 14, 2, 4
2020/1/2, 118, 63, , 33, 4, 8
2020/1/3, 140, 59, , 24, 2, 5
