date, pm25, pm10, o3, no2, so2, co
2020/7/2, 84, 46, 73, 10, 6, 6
2020/7/3, 111, 19, 47, 8, 5, 4
2020/7/4, 56, 27, 16, 12, 4, 2
2020/7/5, 83, , , , , 
2020/6/2, 63, 31, 52, 4, 2, 3
2020/6/3, 52, 43, 94, 9, 3, 5
2020/6/4, 87, 55, 62, 10, 5, 5
2020/6/5, 96, 37, 55, 17, 4, 6
2020/6/6, 55, 53, 79, 18, 4, 5
2020/6/7, 91, 32, 51, 8, 3, 3
2020/6/8, 74, 28, 54, 6, 3, 6
2020/6/9, 62, 37, 46, 8, 3, 4
2020/6/10, 78, 31, 43, 8, 2, 5
2020/6/11, 70, 34, 44, 14, 1, 6
2020/6/12, 80, 35, 41, 10, 2, 5
2020/6/13, 77, 14, 44, 11, 2, 3
2020/6/14, 39, 21, 60, 11, 3, 2
2020/6/15, 36, 40, 99, 13, 6, 4
2020/6/16, 62, 34, 59, 14, 4, 3
2020/6/17, 56, 62, 86, 16, 6, 7
2020/6/18, 99, 55, 69, 13, 5, 6
2020/6/19, 118, 49, 106, 13, 5, 7
2020/6/20, 100, 67, 120, 8, 5, 9
2020/6/21, 155, 32, 62, 6, 3, 5
2020/6/22, 85, 25, 62, 6, 3, 3
2020/6/23, 63, 23, 44, 8, 2, 4
2020/6/24, 65, 9, 48, 7, 1, 3
2020/6/25, 26, 27, 57, 10, 4, 4
2020/6/26, 64, 35, 69, 8, 3, 6
2020/6/27, 93, 36, 69, 11, 4, 7
2020/6/28, 95, 36, 66, 15, 5, 5
2020/6/29, 82, 33, 44, 8, 5, 5
2020/6/30, 87, 42, 50, 14, 9, 5
2020/7/1, 89, 37, 77, 10, 7, 7
2020/5/2, 87, 43, 63, 8, 3, 3
2020/5/3, 108, 31, 35, 7, 3, 3
2020/5/4, 74, 38, 31, 9, 3, 1
2020/5/5, 63, 57, 58, 19, 7, 6
2020/5/6, 108, 52, 83, 17, 6, 5
2020/5/7, 108, 33, 46, 12, 3, 2
2020/5/8, 68, 25, 52, 6, 1, 2
2020/5/9, 67, 25, 47, 9, 2, 3
2020/5/10, 61, 47, 56, 9, 5, 5
2020/5/11, 101, 30, 51, 10, 3, 2
2020/5/12, 39, 40, 42, 7, 4, 2
2020/5/13, 49, 71, 63, 9, 5, 2
2020/5/14, 69, 65, 53, 7, 3, 2
2020/5/15, 72, 25, 46, 4, 2, 3
2020/5/16, 44, 21, 47, 6, 3, 2
2020/5/17, 53, 48, 55, 7, 3, 5
2020/5/18, 96, 27, 43, 7, 3, 2
2020/5/19, 48, 22, 36, 8, 3, 2
2020/5/20, 46, 41, 44, 11, 4, 2
2020/5/21, 86, 31, 41, 8, 3, 1
2020/5/22, 59, 39, 47, 5, 3, 1
2020/5/23, 55, 32, 39, 8, 3, 2
2020/5/24, 74, 22, 49, 7, 4, 3
2020/5/25, 52, 50, 73, 17, 6, 5
2020/5/26, 99, 30, 58, 8, 4, 4
2020/5/27, 58, 41, 49, 8, 4, 5
2020/5/28, 92, 41, 54, 8, 3, 5
2020/5/29, 89, 26, 52, 8, 2, 2
2020/5/30, 53, 32, 66, 8, 3, 4
2020/5/31, 78, 34, 43, 10, 6, 4
2020/6/1, 77, 33, 84, 12, 4, 3
2020/4/2, 34, 51, 45, 15, 7, 7
2020/4/3, 101, 74, 48, 16, 9, 8
2020/4/4, 161, 59, 37, 8, 5, 3
2020/4/5, 48, 45, 38, 10, 5, 4
2020/4/6, 48, 73, 70, 20, 11, 7
2020/4/7, 116, 70, 39, 17, 8, 7
2020/4/8, 106, 41, 39, 14, 5, 4
2020/4/9, 58, 53, 42, 13, 6, 5
2020/4/10, 91, 59, 46, 16, 6, 5
2020/4/11, 134, 47, 51, 17, 6, 6
2020/4/12, 104, 64, 52, 11, 6, 6
2020/4/13, 118, 61, 64, 20, 7, 8
2020/4/14, 124, 71, 88, 21, 11, 8
2020/4/15, 154, 72, 58, 10, 4, 8
2020/4/16, 160, 57, 62, 8, 3, 5
2020/4/17, 128, 55, 44, 12, 3, 7
2020/4/18, 133, 69, 75, 15, 5, 7
2020/4/19, 164, 76, 51, 20, 4, 6
2020/4/20, 164, 21, 37, 8, 3, 3
2020/4/21, 55, 27, 35, 4, 3, 1
2020/4/22, 28, 64, 33, 5, 4, 2
2020/4/23, 57, 38, 38, 8, 4, 4
2020/4/24, 47, 56, 47, 8, 3, 4
2020/4/25, 73, 57, 43, 8, 4, 3
2020/4/26, 74, 38, 47, 12, 5, 4
2020/4/27, 74, 44, 54, 18, 5, 6
2020/4/28, 98, 68, 89, 14, 6, 6
2020/4/29, 147, 59, 94, 13, 5, 6
2020/4/30, 122, 35, 51, 7, 3, 5
2020/5/1, 77, 35, 54, 7, 3, 5
2020/3/2, 141, 31, 36, 12, 8, 4
2020/3/3, 72, 42, 33, 11, 8, 5
2020/3/4, 116, 32, 33, 7, 7, 3
2020/3/5, 75, 29, 38, 10, 10, 5
2020/3/6, 80, 44, 40, 9, 7, 5
2020/3/7, 106, 31, 35, 11, 7, 4
2020/3/8, 78, 30, 36, 11, 5, 4
2020/3/9, 88, 51, 29, 15, 7, 6
2020/3/10, 128, 39, 32, 10, 9, 4
2020/3/11, 71, 50, 31, 12, 10, 3
2020/3/12, 59, 69, 38, 11, 6, 5
2020/3/13, 123, 33, 32, 8, 7, 3
2020/3/14, 34, 50, 33, 14, 8, 5
2020/3/15, 84, 56, 33, 11, 7, 3
2020/3/16, 60, 50, 33, 12, 8, 4
2020/3/17, 63, 63, 40, 25, 11, 7
2020/3/18, 131, 73, 73, 15, 8, 6
2020/3/19, 152, 31, 32, 8, 4, 2
2020/3/20, 25, 58, 36, 16, 8, 5
2020/3/21, 83, 59, 45, 14, 10, 5
2020/3/22, 104, 51, 46, 19, 10, 8
2020/3/23, 102, 44, 37, 21, 8, 5
2020/3/24, 90, 59, 48, 19, 10, 6
2020/3/25, 133, 44, 42, 10, 5, 4
2020/3/26, 93, 35, 73, 13, 4, 5
