date, pm25, pm10, o3, no2, so2, co
2020/7/2, 91, 41, 47, 6, 8, 5
2020/7/3, 98, 42, 57, 6, 5, 5
2020/7/4, 85, 44, 30, 3, 4, 6
2020/7/5, 75, , , , , 
2020/6/2, 52, 27, 46, 6, 5, 5
2020/6/3, 51, 26, 67, 4, 8, 5
2020/6/4, 59, 23, 58, 6, 5, 5
2020/6/5, 51, 50, 46, 12, 5, 4
2020/6/6, 48, 42, 56, 10, 7, 5
2020/6/7, 73, 46, 47, 6, 7, 5
2020/6/8, 83, 28, 41, 2, 5, 4
2020/6/9, 49, 48, 53, 9, 8, 4
2020/6/10, 78, 55, 40, 11, 6, 6
2020/6/11, 96, 39, 45, 6, 4, 4
2020/6/12, 79, 49, 51, 8, 8, 7
2020/6/13, 99, 55, 51, 8, 6, 6
2020/6/14, 94, 36, 51, 7, 5, 4
2020/6/15, 63, 37, 59, 11, 13, 5
2020/6/16, 56, 28, 46, 6, 5, 2
2020/6/17, 43, 37, 53, 7, 9, 4
2020/6/18, 59, 47, 66, 6, 8, 5
2020/6/19, 70, 44, 54, 6, 6, 5
2020/6/20, 67, 53, 78, 4, 8, 7
2020/6/21, 111, 40, 52, 4, 7, 5
2020/6/22, 84, 38, 57, 8, 8, 4
2020/6/23, 78, 51, 36, 16, 6, 6
2020/6/24, 83, 24, 40, 7, 5, 3
2020/6/25, 39, 12, 28, 5, 4, 3
2020/6/26, 21, 17, 46, 7, 5, 5
2020/6/27, 38, 30, 52, 8, 5, 5
2020/6/28, 75, 33, 61, 8, 6, 6
2020/6/29, 93, 50, 54, 12, 6, 8
2020/6/30, 110, 25, 38, 7, 5, 5
2020/7/1, 52, 37, 48, 6, 6, 6
2020/5/2, 91, 40, 46, 5, 8, 6
2020/5/3, 98, 28, 48, 6, 5, 6
2020/5/4, 65, 29, 36, 7, 4, 4
2020/5/5, 49, 49, 42, 10, 9, 7
2020/5/6, 86, 50, 43, 11, 7, 6
2020/5/7, 83, 48, 50, 10, 8, 5
2020/5/8, 76, 72, 38, 10, 6, 5
2020/5/9, 74, 21, 29, 11, 4, 5
2020/5/10, 135, 50, 66, 9, 7, 10
2020/5/11, 117, 84, 37, 8, 6, 4
2020/5/12, 59, 42, 35, 9, 4, 4
2020/5/13, 56, 53, 53, 10, 7, 8
2020/5/14, 78, 73, 46, 4, 6, 4
2020/5/15, 52, 30, 37, 11, 11, 5
2020/5/16, 56, 22, 39, 5, 8, 5
2020/5/17, 63, 28, 48, 5, 8, 7
2020/5/18, 71, 21, 33, 8, 4, 6
2020/5/19, 44, 19, 37, 8, 4, 6
2020/5/20, 27, 15, 32, 5, 7, 4
2020/5/21, 35, 24, 40, 9, 5, 5
2020/5/22, 55, 20, 42, 3, 4, 3
2020/5/23, 54, 15, 39, 5, 4, 4
2020/5/24, 42, 22, 49, 8, 5, 6
2020/5/25, 60, 42, 52, 9, 10, 8
2020/5/26, 102, 31, 38, 8, 9, 5
2020/5/27, 70, 36, 41, 8, 5, 5
2020/5/28, 80, 20, 54, 6, 4, 3
2020/5/29, 59, 74, 50, 5, 9, 5
2020/5/30, 84, 45, 59, 10, 8, 6
2020/5/31, 78, 40, 48, 8, 7, 5
2020/6/1, 77, 31, 71, 6, 7, 4
2020/4/2, 65, 62, 38, 14, 14, 10
2020/4/3, 127, 91, 51, 15, 7, 10
2020/4/4, 172, 61, 40, 4, 4, 3
2020/4/5, 37, 54, 40, 9, 6, 6
2020/4/6, 81, 65, 47, 15, 10, 10
2020/4/7, 127, 53, 41, 9, 6, 6
2020/4/8, 80, 47, 41, 8, 6, 5
2020/4/9, 86, 40, 36, 9, 6, 5
2020/4/10, 86, 36, 43, 7, 7, 5
2020/4/11, 90, 68, 66, 14, 8, 8
2020/4/12, 151, 66, 54, 12, 8, 8
2020/4/13, 139, 63, 51, 14, 8, 8
2020/4/14, 123, 73, 80, 13, 10, 9
2020/4/15, 152, 80, 84, 12, 9, 9
2020/4/16, 163, 68, 59, 12, 8, 8
2020/4/17, 131, 32, 42, 8, 6, 5
2020/4/18, 59, 54, 68, 12, 9, 10
2020/4/19, 131, 65, 43, 8, 10, 9
2020/4/20, 143, 27, 44, 5, 6, 4
2020/4/21, 42, 133, 30, 3, 5, 3
2020/4/22, 52, 95, 28, 11, 5, 5
2020/4/23, 73, 52, 34, 18, 8, 7
2020/4/24, 94, 55, 41, 9, 7, 9
2020/4/25, 95, 48, 39, 8, 5, 5
2020/4/26, 71, 51, 39, 14, 8, 7
2020/4/27, 87, 50, 45, 12, 8, 8
2020/4/28, 100, 64, 68, 10, 8, 8
2020/4/29, 135, 56, 68, 4, 6, 6
2020/4/30, 98, 37, 50, 4, 6, 5
2020/5/1, 71, 39, 50, 5, 7, 6
2020/3/2, 102, 47, 36, 9, 11, 7
2020/3/3, 114, 56, 22, 13, 10, 10
2020/3/4, 139, 63, 36, 7, 9, 6
2020/3/5, 115, 47, 37, 6, 19, 6
2020/3/6, 99, 41, 39, 5, 11, 7
2020/3/7, 89, 47, 38, 11, 17, 9
2020/3/8, 118, 62, 35, 14, 21, 15
2020/3/9, 154, 53, 34, 12, 16, 11
2020/3/10, 121, 36, 35, 6, 8, 7
