date, pm25, pm10, o3, no2, so2, co
2020/7/2, 48, 52, 62, 17, 16, 5
2020/7/3, 89, 47, 65, 11, 12, 8
2020/7/4, 106, 58, 31, 14, 12, 8
2020/7/5, 162, , , , , 
2020/6/2, 42, 50, 69, 9, 9, 5
2020/6/3, 97, 77, 59, 5, 4, 4
2020/6/4, 116, 35, 36, 6, 4, 2
2020/6/5, 41, 49, 57, 12, 22, 4
2020/6/6, 95, 57, 91, 14, 21, 5
2020/6/7, 97, 82, 109, 7, 8, 5
2020/6/8, 113, 91, 126, 8, 8, 9
2020/6/9, 113, 59, 70, 12, 11, 6
2020/6/10, 102, 51, 47, 12, 9, 6
2020/6/11, 113, 36, 57, 10, 11, 4
2020/6/12, 53, 57, 101, 14, 15, 6
2020/6/13, 96, 66, 85, 12, 11, 7
2020/6/14, 112, 30, 40, 8, 4, 3
2020/6/15, 39, 45, 36, 14, 16, 5
2020/6/16, 60, 54, 89, 15, 17, 5
2020/6/17, 87, 65, 131, 15, 17, 8
2020/6/18, 115, 38, 47, 11, 10, 3
2020/6/19, 50, 52, 81, 15, 14, 3
2020/6/20, 71, 82, 116, 9, 12, 7
2020/6/21, 110, 86, 125, 7, 10, 7
2020/6/22, 136, 60, 80, 8, 10, 5
2020/6/23, 86, 42, 48, 8, 8, 5
2020/6/24, 82, 37, 50, 9, 10, 6
2020/6/25, 76, 27, 43, 7, 4, 3
2020/6/26, 56, 18, 39, 5, 5, 2
2020/6/27, 29, 38, 55, 12, 9, 5
2020/6/28, 77, 52, 66, 15, 16, 7
2020/6/29, 81, 53, 83, 15, 16, 7
2020/6/30, 102, 43, 53, 8, 6, 3
2020/7/1, 53, 27, 45, 7, 7, 2
2020/5/2, 146, 276, 83, 6, 10, 7
2020/5/3, 137, 72, 33, 6, 4, 3
2020/5/4, 81, 37, 40, 7, 6, 2
2020/5/5, 58, 53, 51, 13, 18, 4
2020/5/6, 90, 55, 143, 9, 15, 3
2020/5/7, 83, 74, 81, 12, 16, 5
2020/5/8, 109, 45, 41, 9, 7, 6
2020/5/9, 108, 50, 62, 10, 12, 6
2020/5/10, 109, 249, 35, 8, 9, 5
2020/5/11, 135, 70, 41, 6, 4, 4
2020/5/12, 82, 50, 35, 6, 3, 3
2020/5/13, 61, 89, 107, 11, 13, 5
2020/5/14, 125, 138, 96, 8, 11, 6
2020/5/15, 154, 41, 47, 5, 9, 5
2020/5/16, 100, 38, 48, 6, 10, 5
2020/5/17, 84, 81, 39, 7, 5, 4
2020/5/18, 89, 64, 41, 5, 4, 2
2020/5/19, 77, 41, 41, 5, 6, 3
2020/5/20, 80, 61, 74, 10, 18, 5
2020/5/21, 121, 59, 62, 6, 8, 4
2020/5/22, 119, 34, 45, 7, 8, 6
