date, pm25, pm10, o3, no2, so2, co
2020/7/2, 96, 25, 29, 5, 13, 11
2020/7/3, 54, 28, 14, 7, 15, 12
2020/7/4, 54, 24, 17, 6, 10, 11
2020/7/5, 52, , , , , 
2020/6/2, 61, 30, 35, 6, 7, 8
2020/6/3, 63, 25, 31, 6, 8, 8
2020/6/4, 54, 30, 37, 8, 8, 9
2020/6/5, 63, 32, 31, 8, 9, 9
2020/6/6, 69, 30, 43, 6, 9, 9
2020/6/7, 67, 25, 36, 5, 8, 9
2020/6/8, 56, 22, 29, 5, 8, 8
2020/6/9, 44, 24, 31, 5, 7, 9
2020/6/10, 43, 24, 24, 5, 9, 8
2020/6/11, 45, 35, 44, 7, 10, 8
2020/6/12, 74, 44, 50, 8, 13, 8
2020/6/13, 76, 28, 35, 4, 8, 8
2020/6/14, 59, 23, 27, 4, 8, 7
2020/6/15, 47, 23, 35, 3, 5, 7
2020/6/16, 39, 26, 37, 4, 7, 8
2020/6/17, 47, 28, 41, 4, 6, 9
2020/6/18, 47, 29, 43, 5, 7, 9
2020/6/19, 58, 33, 44, 6, 9, 9
2020/6/20, 64, 36, 47, 5, 11, 9
2020/6/21, 70, 38, 42, 5, 10, 8
2020/6/22, 69, 37, 43, 5, 11, 10
2020/6/23, 69, 42, 45, 4, 9, 10
2020/6/24, 72, 41, 48, 5, 8, 10
2020/6/25, 75, 35, 33, 4, 7, 10
2020/6/26, 64, 20, 22, 7, 5, 11
2020/6/27, 50, 30, 38, 7, 7, 10
2020/6/28, 65, 30, 41, 5, 9, 10
2020/6/29, 61, 34, 42, 6, 10, 13
2020/6/30, 65, 46, 65, 6, 14, 14
2020/7/1, 87, 53, 76, 8, 19, 12
2020/5/2, 114, 51, 59, 9, 11, 9
2020/5/3, 93, 55, 71, 9, 10, 9
2020/5/4, 100, 55, 67, 10, 11, 9
2020/5/5, 104, 52, 59, 6, 9, 9
2020/5/6, 96, 43, 70, 5, 4, 9
2020/5/7, 95, 37, 39, 4, 4, 8
2020/5/8, 70, 37, 50, 4, 8, 8
2020/5/9, 69, 40, 51, 6, 10, 9
2020/5/10, 77, 38, 43, 4, 9, 11
2020/5/11, 87, 53, 55, 5, 10, 10
2020/5/12, 117, 54, 77, 6, 18, 10
2020/5/13, 120, 57, 76, 9, 8, 9
2020/5/14, 106, 46, 77, 4, 5, 9
2020/5/15, 79, 40, 44, 4, 6, 8
2020/5/16, 69, 30, 55, 7, 5, 8
2020/5/17, 65, 45, 90, 8, 7, 9
2020/5/18, 87, 32, 54, 8, 7, 9
2020/5/19, 64, 54, 60, 11, 11, 9
2020/5/20, 101, 45, 51, 8, 9, 8
2020/5/21, 79, 27, 41, 5, 5, 9
2020/5/22, 61, 32, 43, 4, 3, 9
2020/5/23, 71, 46, 52, 7, 12, 9
2020/5/24, 88, 48, 80, 9, 9, 9
2020/5/25, 87, 49, 51, 9, 10, 9
2020/5/26, 93, 27, 46, 4, 6, 8
2020/5/27, 60, 38, 51, 5, 13, 8
2020/5/28, 79, 53, 76, 6, 8, 9
2020/5/29, 111, 51, 48, 8, 7, 9
2020/5/30, 106, 30, 35, 6, 8, 8
2020/5/31, 68, 40, 48, 7, 8, 8
2020/6/1, 80, 32, 44, 4, 5, 8
2020/4/2, 64, 26, 19, 8, 12, 10
2020/4/3, 68, 17, 21, 7, 18, 10
2020/4/4, 47, 33, 34, 6, 19, 9
2020/4/5, 84, 52, 33, 12, 5, 10
2020/4/6, 120, 46, 24, 10, 6, 9
2020/4/7, 104, 53, 46, 12, 7, 9
2020/4/8, 115, 70, 68, 19, 11, 12
2020/4/9, 132, 69, 87, 22, 4, 13
2020/4/10, 132, 83, 54, 29, 17, 13
2020/4/11, 151, 44, 43, 9, 6, 10
2020/4/12, 87, 28, 65, 6, 6, 9
2020/4/13, 60, 48, 65, 16, 13, 9
2020/4/14, 93, 65, 32, 24, 15, 12
2020/4/15, 123, 67, 92, 22, 10, 14
2020/4/16, 132, 75, 122, 18, 10, 9
2020/4/17, 126, 58, 97, 11, 9, 10
2020/4/18, 107, 57, 74, 10, 9, 10
2020/4/19, 107, 45, 54, 6, 5, 10
2020/4/20, 90, 41, 66, 7, 11, 11
2020/4/21, 82, 38, 42, 5, 7, 10
2020/4/22, 83, 24, 43, 5, 32, 9
2020/4/23, 62, 27, 39, 5, 19, 7
2020/4/24, 67, 42, 53, 7, 10, 8
2020/4/25, 88, 63, 83, 18, 19, 8
2020/4/26, 126, 63, 81, 21, 19, 9
2020/4/27, 119, 64, 92, 18, 17, 8
2020/4/28, 118, 67, 82, 18, 19, 8
2020/4/29, 111, 69, 118, 21, 20, 9
2020/4/30, 125, 71, 112, 18, 16, 10
2020/5/1, 131, 73, 89, 15, 15, 10
2020/3/2, 77, 31, 47, 11, 6, 11
2020/3/3, 74, 28, 24, 4, 3, 11
2020/3/4, 63, 20, 25, 5, 4, 10
2020/3/5, 51, 31, 29, 6, 5, 10
2020/3/6, 77, 40, 27, 8, 4, 11
2020/3/7, 78, 41, 31, 10, 7, 12
2020/3/8, 75, 40, 34, 9, 5, 12
2020/3/9, 74, 30, 26, 5, 5, 11
2020/3/10, 57, 33, 48, 4, 4, 10
2020/3/11, 67, 48, 36, 13, 6, 10
2020/3/12, 104, 36, 33, 11, 3, 11
2020/3/13, 83, 22, 23, 6, 3, 10
2020/3/14, 57, 50, 54, 9, 6, 10
2020/3/15, 103, 64, 62, 16, 9, 10
2020/3/16, 108, 72, 28, 22, 10, 10
2020/3/17, 124, 42, 37, 8, 6, 9
2020/3/18, 93, 40, 32, 10, 4, 9
2020/3/19, 89, 35, 14, 15, 3, 10
2020/3/20, 83, 44, 57, 12, 5, 11
2020/3/21, 84, 31, 24, 6, 4, 10
2020/3/22, 63, 38, 45, 5, 4, 9
2020/3/23, 72, 39, 27, 10, 6, 9
2020/3/24, 77, 43, 33, 12, 5, 10
2020/3/25, 83, 54, 39, 11, 6, 11
