date, pm25, pm10, o3, no2, so2, co
2020/7/2, 83, 53, 71, 16, 10, 7
2020/7/3, 115, 66, 58, 11, 6, 7
2020/7/4, 159, 60, 31, 10, 4, 9
2020/7/5, 163, , , , , 
2020/6/2, 89, 49, 64, 11, 8, 7
2020/6/3, 99, 77, 68, 13, 9, 7
2020/6/4, 156, 41, 44, 14, 10, 4
2020/6/5, 80, 64, 65, 24, 15, 6
2020/6/6, 107, 68, 69, 23, 22, 8
2020/6/7, 122, 72, 81, 14, 8, 7
2020/6/8, 136, 72, 113, 11, 13, 8
2020/6/9, 145, 65, 45, 16, 16, 7
2020/6/10, 126, 59, 40, 13, 12, 7
2020/6/11, 145, 52, 54, 12, 8, 7
2020/6/12, 99, 67, 64, 18, 15, 7
2020/6/13, 129, 65, 45, 14, 8, 8
2020/6/14, 131, 63, 39, 16, 10, 6
2020/6/15, 62, 61, 39, 20, 7, 6
2020/6/16, 70, 67, 57, 21, 16, 7
2020/6/17, 76, 73, 101, 20, 15, 10
2020/6/18, 132, 51, 48, 17, 6, 8
2020/6/19, 100, 58, 119, 18, 11, 7
2020/6/20, 93, 80, 113, 15, 10, 10
2020/6/21, 168, 73, 109, 9, 11, 10
2020/6/22, 167, 52, 56, 10, 12, 6
2020/6/23, 100, 51, 41, 9, 10, 5
2020/6/24, 95, 37, 50, 12, 14, 6
2020/6/25, 93, 39, 54, 13, 7, 6
2020/6/26, 105, 32, 44, 12, 5, 7
2020/6/27, 81, 53, 64, 18, 10, 6
2020/6/28, 106, 65, 61, 24, 14, 8
2020/6/29, 124, 66, 63, 23, 14, 7
2020/6/30, 153, 58, 60, 22, 8, 8
2020/7/1, 133, 45, 58, 17, 9, 6
2020/5/2, 164, 69, 81, 12, 23, 7
2020/5/3, 147, 51, 30, 11, 11, 5
2020/5/4, 92, 45, 43, 14, 13, 4
2020/5/5, 72, 77, 55, 30, 21, 12
2020/5/6, 158, 68, 65, 26, 17, 9
2020/5/7, 115, 82, 61, 29, 31, 9
2020/5/8, 120, 39, 41, 18, 10, 7
2020/5/9, 103, 53, 53, 20, 15, 7
2020/5/10, 118, 84, 37, 17, 6, 7
2020/5/11, 107, 81, 40, 16, 12, 6
2020/5/12, 76, 57, 36, 11, 10, 4
2020/5/13, 66, 113, 83, 23, 19, 10
2020/5/14, 141, 103, 77, 15, 16, 8
2020/5/15, 129, 27, 48, 8, 5, 5
2020/5/16, 61, 35, 47, 12, 22, 7
2020/5/17, 92, 92, 41, 17, 18, 7
2020/5/18, 112, 118, 52, 9, 10, 6
2020/5/19, 90, 45, 51, 9, 9, 5
2020/5/20, 71, 68, 57, 25, 22, 7
2020/5/21, 126, 45, 64, 8, 6, 5
2020/5/22, 105, 40, 47, 14, 11, 8
2020/5/23, 130, 43, 40, 19, 10, 8
2020/5/24, 121, 44, 46, 18, 16, 7
2020/5/25, 73, 69, 40, 20, 17, 5
2020/5/26, 76, 81, 43, 22, 16, 7
2020/5/27, 106, 45, 39, 22, 17, 7
2020/5/28, 117, 48, 44, 20, 19, 7
2020/5/29, 131, 48, 47, 12, 6, 4
2020/5/30, 79, 64, 66, 14, 10, 7
2020/5/31, 123, 37, 37, 11, 10, 6
2020/6/1, 92, 46, 91, 15, 12, 8
