date, pm25, pm10, o3, no2, so2, co
2020/7/2, 58, 48, 67, 18, 11, 6
2020/7/3, 92, 49, 57, 10, 4, 9
2020/7/4, 110, 39, 44, 6, 1, 5
2020/7/5, 90, , , , , 
2020/6/2, 59, 29, 62, 9, 3, 5
2020/6/3, 71, 53, 97, 8, 3, 6
2020/6/4, 116, 35, 44, 15, 6, 4
2020/6/5, 35, 45, 53, 20, 12, 4
2020/6/6, 72, 71, 87, 21, 10, 8
2020/6/7, 120, 47, 80, 9, 3, 5
2020/6/8, 106, 51, 99, 10, 3, 6
2020/6/9, 87, 48, 58, 8, 3, 5
2020/6/10, 84, 40, 44, 6, 5, 4
2020/6/11, 87, 26, 64, 8, 25, 4
2020/6/12, 66, 41, 73, 6, 3, 5
2020/6/13, 110, 31, 50, 5, 2, 5
2020/6/14, 66, 22, 45, 8, 4, 4
2020/6/15, 44, 28, 43, 9, 6, 4
2020/6/16, 40, 31, 80, 13, 6, 5
2020/6/17, 56, 48, 114, 9, 4, 8
2020/6/18, 90, 45, 52, 15, 8, 8
2020/6/19, 84, 35, 94, 16, 15, 4
2020/6/20, 62, 49, 103, 6, 3, 8
2020/6/21, 107, 55, 103, 6, 3, 8
2020/6/22, 135, 29, 53, 6, 3, 5
2020/6/23, 67, 27, 44, 8, 3, 5
2020/6/24, 79, 33, 43, 11, 6, 8
2020/6/25, 79, 26, 45, 9, 18, 5
2020/6/26, 63, 24, 60, 8, 14, 4
2020/6/27, 51, 40, 63, 12, 10, 7
2020/6/28, 106, 34, 71, 11, 7, 6
2020/6/29, 80, 31, 57, 9, 3, 5
2020/6/30, 86, 48, 57, 15, 12, 6
2020/7/1, 92, 32, 56, 14, 15, 4
2020/5/2, 144, 59, 75, 7, 4, 5
2020/5/3, 126, 38, 33, 6, 3, 4
2020/5/4, 67, 30, 42, 13, 8, 7
2020/5/5, 58, 52, 60, 18, 15, 10
2020/5/6, 135, 47, 63, 18, 14, 8
2020/5/7, 88, 52, 48, 22, 20, 7
2020/5/8, 96, 23, 44, 10, 3, 6
2020/5/9, 83, 44, 45, 16, 9, 8
2020/5/10, 131, 107, 41, 10, 6, 5
2020/5/11, 95, 54, 39, 12, 13, 5
2020/5/12, 52, 40, 36, 10, 4, 4
2020/5/13, 44, 75, 73, 13, 12, 7
2020/5/14, 100, 85, 66, 10, 4, 6
2020/5/15, 93, 30, 42, 9, 3, 6
2020/5/16, 66, 32, 41, 9, 3, 6
2020/5/17, 84, 77, 41, 11, 7, 5
2020/5/18, 87, 60, 35, 11, 4, 5
2020/5/19, 77, 20, 30, 8, 4, 5
2020/5/20, 60, 43, 58, 14, 9, 6
2020/5/21, 108, 39, 43, 10, 3, 7
2020/5/22, 110, 34, 52, 9, 2, 6
2020/5/23, 85, 27, 45, 8, 4, 6
2020/5/24, 94, 20, 55, 10, 6, 5
2020/5/25, 65, 53, 46, 12, 6, 5
2020/5/26, 63, 36, 63, 14, 16, 6
2020/5/27, 87, 22, 45, 11, 3, 7
2020/5/28, 116, 26, 56, 11, 3, 5
2020/5/29, 98, 41, 48, 12, 6, 6
2020/5/30, 80, 41, 88, 13, 8, 6
2020/5/31, 99, 28, 44, 8, 3, 5
2020/6/1, 78, 23, 98, 10, 7, 5
2020/4/2, 50, 40, 33, 14, 6, 7
2020/4/3, 97, 154, 43, 13, 9, 6
