date, pm25, pm10, o3, no2, so2, co
2020/7/2, 69, 26, 39, 8, 2, 5
2020/7/3, 76, , , , , 
2020/6/2, 135, 42, , 16, 2, 6
2020/6/3, 82, 32, , 23, 1, 8
2020/6/4, 81, 46, , 25, 2, 9
2020/6/5, 109, 21, , 16, 1, 7
2020/6/6, 70, 17, , 9, 1, 6
2020/6/7, 46, 33, , 10, 2, 6
2020/6/8, 72, 49, , 9, 1, 6
2020/6/9, 93, 16, , 10, 1, 6
2020/6/10, 48, 34, , 20, 1, 8
2020/6/11, 89, 30, , 18, 1, 9
2020/6/12, 135, 45, , 15, 1, 7
2020/6/13, 131, 52, , 19, 2, 6
2020/6/14, 111, 39, , 18, 1, 6
2020/6/15, 86, 15, , 21, , 7
2020/6/16, 104, 31, 56, 15, , 5
2020/6/17, 102, 42, 55, 14, 1, 5
2020/6/18, 101, 32, 34, 16, 1, 7
2020/6/19, 77, 28, 64, 9, 1, 6
2020/6/20, 74, 39, 52, 10, 1, 5
2020/6/21, 102, 13, 36, 9, 1, 4
2020/6/22, 52, 18, 36, 9, 1, 4
2020/6/23, 61, 24, 42, 11, 1, 5
2020/6/24, 75, 31, 42, 18, 1, 7
2020/6/25, 91, 39, 37, 16, 1, 7
2020/6/26, 111, 37, 63, 10, 1, 6
2020/6/27, 99, 30, 28, 15, 1, 6
2020/6/28, 87, 19, 29, 18, 1, 6
2020/6/29, 71, 29, 36, 12, 1, 6
2020/6/30, 88, 29, 91, 10, 1, 6
2020/7/1, 77, 24, 58, 9, 1, 5
2020/5/2, 116, 38, , 13, 2, 5
2020/5/3, 98, 61, , 26, 2, 8
2020/5/4, 137, 41, , 28, 2, 7
2020/5/5, 137, 31, , 12, 1, 5
2020/5/6, 92, 30, , 14, 1, 6
2020/5/7, 84, 36, , 10, 1, 4
2020/5/8, 87, 26, , 8, 2, 5
2020/5/9, 64, 41, , 20, 2, 10
2020/5/10, 125, 59, , 23, 2, 9
2020/5/11, 153, 60, , 21, 2, 8
2020/5/12, 147, 53, , 18, 3, 5
2020/5/13, 79, 64, , 14, 2, 4
2020/5/14, 69, 61, , 10, 2, 5
2020/5/15, 75, 40, , 18, 2, 7
2020/5/16, 98, , , 33, 2, 10
2020/5/17, 163, 57, , 18, 3, 8
2020/5/18, 163, 59, , 20, 3, 7
2020/5/19, 103, 58, , 20, 3, 7
2020/5/20, 235, 60, , 18, 4, 6
2020/5/21, 108, 47, , 10, 2, 5
2020/5/22, 75, 36, , 10, 1, 5
2020/5/23, 78, 34, , 10, 2, 5
2020/5/24, 79, 48, , 12, 2, 7
2020/5/25, 112, 50, , 16, 2, 8
2020/5/26, 139, 22, , 10, 1, 6
2020/5/27, 61, 48, , 20, 2, 7
2020/5/28, 102, 63, , 23, 2, 8
2020/5/29, 144, 58, , 21, 2, 7
2020/5/30, 148, 17, , 11, 1, 5
2020/5/31, 50, 63, , 22, 2, 9
2020/6/1, 135, 51, , 18, 2, 8
2020/4/2, 108, 41, 44, 13, 2, 4
2020/4/3, 68, 46, 46, 19, 3, 4
2020/4/4, 97, 59, 70, 26, 4, 5
2020/4/5, 136, 38, 47, 8, 2, 2
2020/4/6, 56, 36, 38, 15, 2, 3
2020/4/7, 65, 42, 37, 28, 3, 4
2020/4/8, 88, 48, 57, 30, 3, 4
2020/4/9, 93, 50, 52, 21, 3, 4
2020/4/10, 111, 43, 49, 12, 2, 4
2020/4/11, 86, 31, 40, 10, 2, 4
2020/4/12, 86, 51, 54, 14, 3, 7
2020/4/13, 136, 64, 62, 22, 5, 8
2020/4/14, 147, 63, 84, 25, 3, 6
2020/4/15, 157, 57, 66, 25, 4, 6
2020/4/16, 130, 51, 80, 22, 4, 7
2020/4/17, 116, 69, 41, 37, 4, 9
2020/4/18, 132, 63, 56, 24, 4, 9
2020/4/19, 123, 38, 47, 13, 2, 8
2020/4/20, 104, 53, 80, 19, 3, 9
2020/4/21, 144, 36, 41, 15, 1, 5
2020/4/22, 80, 43, 53, 16, 2, 4
2020/4/23, 82, 46, 49, 14, 2, 4
2020/4/24, 83, 55, 78, 22, 4, 5
2020/4/25, 113, 55, 75, 28, 4, 4
2020/4/26, 126, 60, 52, 13, 2, 4
2020/4/27, 105, 35, 44, 14, 2, 3
2020/4/28, 70, 32, 48, 21, 3, 3
2020/4/29, 77, 34, 73, 11, 2, 4
2020/4/30, 75, 51, 105, 19, 4, 5
2020/5/1, 111, 53, , 23, 3, 6
2020/3/2, 53, 28, 39, 8, 2, 7
2020/3/3, 82, 29, 29, 14, 2, 5
2020/3/4, 71, 33, 40, 10, 2, 5
2020/3/5, 96, 29, 41, 9, 2, 4
2020/3/6, 80, 30, 50, 12, 2, 4
2020/3/7, 79, 55, 46, 17, 2, 6
2020/3/8, 139, 24, 45, 9, , 4
2020/3/9, 71, 12, 37, 15, 2, 4
2020/3/10, 48, 31, 41, 11, 1, 5
2020/3/11, 92, 59, 50, 22, 1, 7
2020/3/12, 143, 52, 46, 14, 1, 5
2020/3/13, 131, 30, 36, 14, 1, 4
2020/3/14, 78, 39, 37, 14, 1, 4
2020/3/15, 69, 58, 46, 26, 2, 6
2020/3/16, 106, 34, 37, 14, 2, 4
2020/3/17, 52, 48, 57, 22, 3, 4
2020/3/18, 321, 61, 81, 27, 2, 6
2020/3/19, 275, 56, 38, 17, 3, 5
2020/3/20, 106, 51, 50, 16, 1, 3
2020/3/21, 61, 57, 59, 22, 4, 6
2020/3/22, 107, 46, 44, 12, 1, 5
2020/3/23, 118, 25, 39, 13, 1, 3
2020/3/24, 58, 36, 45, 18, 2, 4
2020/3/25, 85, 33, 53, 13, 2, 4
2020/3/26, 67, 40, 24, 25, 1, 8
2020/3/27, 107, 34, 35, 8, 1, 5
2020/3/28, 62, 23, 32, 8, 2, 3
2020/3/29, 43, 28, 31, 11, 1, 3
2020/3/30, 43, 22, 33, 15, 1, 4
2020/3/31, 63, 27, 37, 15, 1, 4
2020/4/1, 67, 39, 53, 13, 3, 5
2020/2/2, 81, 33, 41, 10, 4, 5
2020/2/3, 88, 53, 42, 12, 4, 7
2020/2/4, 160, 18, 37, 9, 3, 4
2020/2/5, 61, 28, 35, 10, 3, 5
2020/2/6, 77, 19, 32, 5, , 4
2020/2/7, 57, 21, 33, 6, 3, 5
2020/2/8, 70, 33, 32, 6, 3, 5
2020/2/9, 98, 62, 39, 10, 3, 8
2020/2/10, 155, 45, 42, 16, 4, 6
2020/2/11, 119, 25, 36, 8, 2, 4
2020/2/12, 72, 43, 26, 15, 2, 8
2020/2/13, 105, 51, 27, 11, 2, 7
2020/2/14, 124, 19, 27, 11, 1, 5
2020/2/15, 55, 12, 19, 8, 1, 5
2020/2/16, 41, 31, 31, 5, 2, 5
2020/2/17, 78, 23, 34, 6, 2, 4
2020/2/18, 56, 18, 33, 10, 3, 5
2020/2/19, 61, 16, 43, 9, 2, 3
2020/2/20, 50, 17, 36, 15, 2, 3
2020/2/21, 54, 27, 36, 14, 2, 4
2020/2/22, 75, 72, 47, 13, 3, 6
2020/2/23, 147, 47, 43, 10, 2, 3
2020/2/24, 80, 54, 54, 11, 3, 5
2020/2/25, 101, 51, 36, 16, 3, 7
2020/2/26, 143, 30, 35, 6, 2, 5
2020/2/27, 75, 39, 38, 8, 2, 5
2020/2/28, 80, 40, 31, 15, 2, 7
2020/2/29, 90, 30, 24, 16, 2, 7
2020/3/1, 74, 18, 32, 9, 2, 5
2020/1/2, 52, 32, 15, 32, 3, 5
2020/1/3, 72, 43, 11, 29, 4, 6
2020/1/4, 133, 55, 23, 22, 3, 6
2020/1/5, 137, 45, 25, 24, 3, 5
2020/1/6, 102, 29, 29, 26, 4, 6
2020/1/7, 78, 33, 12, 29, 3, 11
2020/1/8, 92, 43, 19, 22, 3, 11
2020/1/9, 119, 36, 23, 21, 3, 8
2020/1/10, 104, 21, 22, 18, 3, 6
2020/1/11, 64, 29, 25, 19, 3, 7
2020/1/12, 91, 84, 27, 22, 6, 15
2020/1/13, 181, 97, 28, 30, 5, 14
2020/1/14, 196, 92, 27, 26, 4, 14
2020/1/15, 190, 41, 28, 22, 1, 5
2020/1/16, 117, 12, 28, 15, 1, 4
2020/1/17, 50, 39, 25, 20, 3, 8
2020/1/18, 111, 61, 24, 19, 4, 10
2020/1/19, 158, 69, 29, 26, 3, 11
2020/1/20, 165, 93, 46, 33, 5, 15
2020/1/21, 192, 81, 47, 23, 4, 10
2020/1/22, 177, 66, 31, 24, 3, 12
2020/1/23, 162, 33, 28, 13, 2, 8
2020/1/24, 96, 49, 40, 7, 3, 8
2020/1/25, 121, 17, 29, 6, 2, 7
2020/1/26, 54, 17, 32, 5, 3, 5
2020/1/27, 58, 23, 33, 5, 2, 6
2020/1/28, 77, 66, 26, 8, 3, 10
2020/1/29, 164, 59, 43, 7, 5, 8
2020/1/30, 156, 62, 41, 6, 5, 10
2020/1/31, 158, 47, 38, 10, 5, 9
2020/2/1, 126, 28, 32, 18, 4, 6
2019/10/2, 46, 19, 21, 10, 3, 4
2019/10/3, 57, 34, 34, 18, 3, 5
2019/10/4, 76, 45, 52, 14, 3, 4
2019/10/5, 116, 38, 44, 10, 3, 4
2019/10/6, 92, 33, 41, 11, 3, 3
2019/10/7, 45, 48, 28, 19, 4, 5
2019/10/8, 93, 53, 27, 21, 4, 9
2019/10/9, 138, 51, 35, 23, 4, 8
2019/10/10, 105, 38, 55, 17, 4, 4
2019/10/11, 65, 50, 32, 19, 5, 7
2019/10/12, 113, 47, 50, 12, 4, 5
2019/10/13, 135, 40, 44, 15, 3, 4
2019/10/14, 87, 39, 38, 13, 3, 4
2019/10/15, 76, 31, 33, 11, 3, 3
2019/10/16, 54, 43, 36, 18, 3, 3
2019/10/17, 73, 43, 42, 18, 4, 4
2019/10/18, 82, 39, 44, 19, 4, 4
2019/10/19, 77, 49, 54, 22, 4, 5
2019/10/20, 115, 52, 64, 26, 4, 6
2019/10/21, 133, 45, 50, 22, 4, 5
2019/10/22, 118, 47, 48, 27, 4, 5
2019/10/23, 96, 49, 51, 21, 3, 5
2019/10/24, 112, 38, 47, 17, 3, 5
2019/10/25, 90, 61, 64, 21, 4, 7
2019/10/26, 123, 36, 31, 13, 4, 5
2019/10/27, 78, 40, 26, 23, 4, 5
2019/10/28, 72, 61, 38, 34, 5, 8
2019/10/29, 144, 142, 49, 30, 6, 9
2019/10/30, 158, 145, 44, 38, 5, 8
2019/10/31, 134, 147, 80, 29, 5, 7
2019/11/1, 146, 82, 62, 27, 5, 7
2019/11/2, 125, 107, 84, 20, 5, 9
2019/11/3, 160, 47, 57, 13, 4, 7
2019/11/4, 96, 48, 48, 11, 4, 7
2019/11/5, 101, 27, 42, 15, 4, 5
2019/11/6, 67, 28, 36, 19, 4, 5
2019/11/7, 57, 44, 47, 18, 4, 6
2019/11/8, 102, 27, 37, 13, 4, 4
2019/11/9, 53, 24, 38, 19, 4, 5
2019/11/10, 50, 51, 58, 28, 5, 6
2019/11/11, 107, 80, 34, 37, 6, 8
2019/11/12, 124, 68, 32, 29, 5, 6
2019/11/13, 82, 66, 39, 27, 6, 9
2019/11/14, 127, 72, 32, 16, 4, 6
2019/11/15, 75, 56, 44, 23, 5, 6
2019/11/16, 72, 42, 51, 23, 5, 7
2019/11/17, 78, 43, 34, 24, 5, 7
2019/11/18, 86, 83, 27, 13, 4, 7
2019/11/19, 132, 98, 29, 15, 5, 7
2019/11/20, 103, 68, 31, 22, 4, 6
2019/11/21, 78, 34, 26, 26, 3, 5
2019/11/22, 56, 45, 20, 33, 4, 6
2019/11/23, 82, 37, 17, 28, 3, 6
2019/11/24, 72, 36, 30, 21, 3, 6
2019/11/25, 98, 30, 26, 11, 2, 4
2019/11/26, 57, 25, 20, 20, 3, 5
2019/11/27, 62, 20, 24, 18, 2, 5
2019/11/28, 64, 33, 24, 15, 3, 6
2019/11/29, 68, 32, 21, 21, 3, 6
2019/11/30, 71, 25, 17, 29, 3, 5
2019/12/1, 62, 28, 20, 22, , 8
2019/12/2, 85, 59, 22, 26, 6, 11
2019/12/3, 143, 69, 27, 40, 7, 11
2019/12/4, 166, 87, 20, 62, 8, 14
2019/12/5, 180, 58, 30, 31, 6, 7
2019/12/6, 141, 21, 31, 13, 3, 3
2019/12/7, 58, 39, 32, 28, 5, 6
2019/12/8, 109, 68, 34, 44, 6, 9
2019/12/9, 162, 77, 29, 55, 6, 8
2019/12/10, 172, 69, 29, 58, 6, 7
2019/12/11, 163, 92, 37, 47, 7, 12
2019/12/12, 185, 46, 30, 22, 4, 8
2019/12/13, 102, 50, 31, 29, 4, 8
2019/12/14, 97, 64, 32, 33, 5, 10
2019/12/15, 141, 31, 26, 20, 3, 6
2019/12/16, 64, 44, 29, 27, 4, 7
2019/12/17, 97, 66, 8, 29, 4, 11
2019/12/18, 156, 39, 23, 17, 3, 7
2019/12/19, 97, 32, 18, 21, 3, 7
2019/12/20, 86, 43, 21, 27, 4, 9
2019/12/21, 119, 32, 26, 26, 3, 8
2019/12/22, 93, 18, 27, 21, 3, 8
2019/12/23, 65, 34, 28, 24, 3, 9
2019/12/24, 101, 41, 26, 22, 3, 7
2019/12/25, 104, 30, 18, 31, 3, 6
2019/12/26, 83, 32, 18, 22, 3, 9
2019/12/27, 96, 59, 21, 28, 5, 10
2019/12/28, 155, 66, 33, 34, 5, 10
2019/12/29, 146, 37, 20, 31, 4, 6
2019/12/30, 100, , , , , 
2019/7/2, 64, 25, 47, 14, 1, 4
2019/7/3, 70, 33, 51, 10, 1, 4
2019/7/4, 89, 42, 52, 12, 2, 5
2019/7/5, 111, 44, 53, 13, 2, 5
2019/7/6, 106, 42, 52, 10, 1, 4
2019/7/7, 107, 40, 96, 13, 1, 7
2019/7/8, 96, 52, 89, 16, 4, 7
2019/7/9, 136, 23, 31, 10, 2, 4
2019/7/10, 69, 24, 33, 16, 2, 5
2019/7/11, 65, 42, 47, 21, 2, 6
2019/7/12, 136, 34, 27, 17, 3, 5
2019/7/13, 97, 16, 40, 10, 2, 4
2019/7/14, 58, 38, 75, 14, 2, 5
2019/7/15, 97, 33, 51, 10, 1, 4
2019/7/16, 82, 26, 32, 10, 2, 4
2019/7/17, 70, 32, 35, 9, 1, 3
2019/7/18, 79, 22, 16, 9, 1, 3
2019/7/19, 62, 19, 18, 9, 1, 4
2019/7/20, 59, 34, 45, 16, 2, 6
2019/7/21, 83, 47, 80, 15, 2, 5
2019/7/22, 111, 44, 70, 11, 1, 5
2019/7/23, 101, 42, 90, 13, 2, 4
2019/7/24, 83, 49, 73, 21, 3, 6
2019/7/25, 101, 53, 65, 23, 2, 6
2019/7/26, 111, 58, 86, 22, 2, 6
2019/7/27, 134, 50, 66, 22, 3, 6
2019/7/28, 113, 39, 58, 11, 2, 3
2019/7/29, 80, 33, 73, 11, 2, 3
2019/7/30, 67, 34, 83, 13, 3, 2
2019/7/31, 58, 29, 53, 13, 2, 5
2019/8/1, 56, 30, 35, 10, 2, 4
2019/8/2, 52, 25, 23, 9, 2, 3
2019/8/3, 54, 29, 20, 9, 2, 3
2019/8/4, 63, 27, 17, 11, 1, 5
2019/8/5, 45, 29, 18, 8, 2, 5
2019/8/6, 54, 28, 34, 9, 2, 4
2019/8/7, 71, 42, 34, 9, 2, 5
2019/8/8, 88, 30, 14, 8, 2, 4
2019/8/9, 64, 28, 12, 7, 2, 4
2019/8/10, 60, 20, 31, 4, 1, 5
2019/8/11, 56, 17, 31, 8, 1, 6
2019/8/12, 38, 35, 67, 14, 2, 7
2019/8/13, 71, 49, 68, 24, 2, 8
2019/8/14, 103, 53, 108, 19, 2, 8
2019/8/15, 117, 49, 92, 16, 3, 10
2019/8/16, 123, 56, 122, 15, 3, 10
2019/8/17, 155, 61, 129, 16, 4, 9
2019/8/18, 143, 56, 72, 17, 2, 8
2019/8/19, 128, 33, 60, 14, 2, 7
2019/8/20, 73, 29, 53, 12, 2, 7
2019/8/21, 69, 45, 86, 17, 3, 7
2019/8/22, 91, 54, 78, 15, 2, 6
2019/8/23, 111, 45, 48, 15, 2, 6
2019/8/24, 107, 34, 38, 14, 2, 5
2019/8/25, 86, 27, 21, 10, 2, 4
2019/8/26, 62, 33, 64, 13, 2, 4
2019/8/27, 71, 46, 68, 23, 3, 6
2019/8/28, 94, 30, 40, 18, 2, 6
