date, pm25, pm10, o3, no2, so2, co
2020/7/2, 98, 30, , 11, 2, 4
2020/7/3, 73, 17, , 8, 3, 5
2020/7/4, 66, , , , , 
2020/6/2, 132, 45, , 12, 5, 5
2020/6/3, 81, 37, , 15, 3, 6
2020/6/4, 81, 42, , 16, 3, 7
2020/6/5, 100, 26, , 16, 2, 6
2020/6/6, 63, 22, , 10, 2, 5
2020/6/7, 44, 35, , 8, 3, 3
2020/6/8, 68, 50, , 8, 2, 4
2020/6/9, 105, 27, , 13, 2, 8
2020/6/10, 66, 39, , 17, 3, 5
2020/6/11, 111, 55, , 22, 3, 8
2020/6/12, 151, 52, , 14, 2, 6
2020/6/13, 129, 48, , 22, 3, 7
2020/6/14, 98, 37, , 22, 3, 7
2020/6/15, 67, 32, , 23, 1, 5
2020/6/16, 83, 36, , 23, 2, 7
2020/6/17, 82, 50, , 19, 1, 7
2020/6/18, 117, 33, , 15, 2, 6
2020/6/19, 77, 30, , 11, 2, 7
2020/6/20, 89, 31, , 10, 3, 4
2020/6/21, 97, 15, , 11, 2, 4
2020/6/22, 58, 21, , 13, 2, 4
2020/6/23, 65, 35, , 15, 2, 4
2020/6/24, 93, 34, , 11, 2, 7
2020/6/25, 82, 41, , 15, 2, 8
2020/6/26, 114, 42, , 13, 2, 7
2020/6/27, 112, 29, , 18, 3, 6
2020/6/28, 67, 27, , 21, 4, 6
2020/6/29, 57, 33, , 17, 4, 6
2020/6/30, 73, 38, , 16, 3, 6
2020/7/1, 86, 41, , 14, 3, 4
2020/5/2, 160, 54, , 15, 2, 6
2020/5/3, 139, 66, , 22, 3, 8
2020/5/4, 128, 82, , 24, 3, 9
2020/5/5, 184, 37, , 10, 1, 5
2020/5/6, 119, 47, , 13, 3, 6
2020/5/7, 125, 46, , 11, 2, 5
2020/5/8, 97, 41, , 11, 2, 5
2020/5/9, 85, 38, , 8, 1, 7
2020/5/10, 114, 56, , 13, 3, 10
2020/5/11, 162, 71, , 18, 2, 9
2020/5/12, 162, 59, , 13, 4, 5
