date, pm25, pm10, o3, no2, so2, co
2020/7/2, 79, 42, , 5, 2, 7
2020/7/3, 79, 22, , 3, 2, 6
2020/7/4, 48, 26, , 5, 2, 6
2020/7/5, 56, , , , , 
2020/6/2, 69, 34, , 3, 3, 6
2020/6/3, 65, 24, , 2, 2, 6
2020/6/4, 48, 35, , 4, 2, 6
2020/6/5, 54, 35, , 4, 3, 6
2020/6/6, 52, 39, , 4, 2, 6
2020/6/7, 67, 32, , 3, 2, 7
2020/6/8, 67, 28, , 3, 2, 7
2020/6/9, 56, 22, , 5, 1, 6
2020/6/10, 41, 41, , 5, 1, 8
2020/6/11, 89, 29, , 3, 1, 7
2020/6/12, 65, 30, , 2, 1, 6
2020/6/13, 48, 27, , 4, 2, 7
2020/6/14, 40, 27, , 5, 1, 7
2020/6/15, 47, 35, , 5, 1, 8
2020/6/16, 60, 26, , 4, 2, 5
2020/6/17, 35, 24, , 2, 2, 5
2020/6/18, 32, 14, , 8, 2, 6
2020/6/19, 39, 18, , 2, 2, 6
2020/6/20, 40, 19, , 3, 1, 6
2020/6/21, 49, 40, , 5, 2, 8
2020/6/22, 76, 33, , 5, 1, 8
2020/6/23, 71, 14, , 3, 2, 7
2020/6/24, 38, 26, , 4, 2, 7
2020/6/25, 61, 33, , 4, 2, 7
2020/6/26, 57, 22, , 2, 2, 6
2020/6/27, 40, 25, , 4, 1, 6
2020/6/28, 36, 25, , 4, 2, 5
2020/6/29, 47, 14, , 3, 2, 6
2020/6/30, 37, 28, , 4, 2, 6
2020/7/1, 42, 48, , 5, 3, 7
2020/5/2, 120, 54, , 5, 5, 8
2020/5/3, 98, 54, , 9, 5, 8
2020/5/4, 95, 52, , 7, 4, 7
2020/5/5, 83, 36, , 5, 4, 7
2020/5/6, 70, 33, , 4, 4, 7
2020/5/7, 79, 44, , 4, 5, 9
2020/5/8, 95, 36, , 6, 4, 9
2020/5/9, 84, 31, , 7, 6, 7
2020/5/10, 67, 32, , 6, 5, 5
2020/5/11, 68, 62, , 8, 6, 5
2020/5/12, 76, 74, , 12, 6, 6
2020/5/13, 86, 72, , 11, 6, 6
2020/5/14, 115, 50, , 8, 5, 8
2020/5/15, 105, 20, , 4, 4, 7
2020/5/16, 50, 23, , 5, 4, 6
2020/5/17, 41, 35, , 8, 4, 6
2020/5/18, 66, 75, , 12, 5, 5
2020/5/19, 94, 58, , 8, 6, 5
2020/5/20, 79, 63, , 8, 6, 7
2020/5/21, 82, 53, , 7, 5, 8
2020/5/22, 102, 49, , 7, 5, 6
2020/5/23, 84, 63, , 12, 5, 7
2020/5/24, 92, 68, , 9, 6, 7
2020/5/25, 111, 47, , 6, 4, 7
2020/5/26, 106, 36, , 3, 4, 6
2020/5/27, 75, 54, , 7, 5, 6
2020/5/28, 80, 64, , 13, 5, 7
2020/5/29, 103, 43, , 8, 3, 6
2020/5/30, 96, 32, , 7, 3, 6
2020/5/31, 65, 39, , 7, 3, 6
2020/6/1, 55, 40, , 5, 3, 6
2020/4/2, 72, 38, , 9, 4, 9
2020/4/3, 92, 57, , 11, 6, 11
2020/4/4, 123, 57, , 6, 5, 10
2020/4/5, 131, 62, , 8, 5, 9
2020/4/6, 134, 57, , 9, 5, 10
2020/4/7, 102, 56, , 13, 5, 7
2020/4/8, 87, 58, , 12, 5, 7
2020/4/9, 95, 57, , 15, 5, 7
2020/4/10, 95, 71, , 12, 6, 10
2020/4/11, 130, 27, , 7, 4, 8
2020/4/12, 79, 38, , 5, 4, 9
2020/4/13, 89, 47, , 12, 5, 7
2020/4/14, 78, 43, , 7, 5, 7
2020/4/15, 69, 43, , 7, 5, 8
2020/4/16, 69, 63, , 7, 6, 10
2020/4/17, 91, 86, , 11, 7, 10
2020/4/18, 115, 64, , 9, 4, 13
2020/4/19, 125, 29, , 6, 4, 11
2020/4/20, 76, 32, , 9, 4, 12
2020/4/21, 79, 39, , 10, 5, 13
2020/4/22, 90, 48, , 10, 7, 12
2020/4/23, 103, 60, , 9, 7, 9
2020/4/24, 108, 51, , 6, 6, 7
2020/4/25, 100, 52, , 10, 5, 7
2020/4/26, 77, 57, , 13, 6, 7
2020/4/27, 81, 59, , 10, 6, 7
2020/4/28, 86, 53, , 9, 6, 6
2020/4/29, 84, 63, , 12, 6, 7
2020/4/30, 90, 62, , 9, 5, 7
2020/5/1, 108, 54, , 5, 5, 7
2020/3/2, 86, 33, , 4, 3, 8
2020/3/3, 86, 33, , 5, 4, 11
2020/3/4, 100, 37, , 6, 4, 10
2020/3/5, 96, 53, , 6, 4, 9
2020/3/6, 130, 35, , 4, 3, 8
2020/3/7, 97, 26, , 3, 4, 9
2020/3/8, 71, 21, , 4, 3, 11
2020/3/9, 63, 39, , 6, 3, 11
2020/3/10, 106, 46, , 5, 3, 8
2020/3/11, 107, 60, , 3, 3, 7
2020/3/12, 99, 52, , 6, 4, 9
2020/3/13, 105, 63, , 6, 4, 9
2020/3/14, 129, 69, , 6, 4, 5
2020/3/15, 137, 70, , 5, 3, 2
2020/3/16, 91, 74, , 8, 5, 4
2020/3/17, 112, 66, , 5, 5, 4
2020/3/18, 113, 63, , 5, 4, 4
2020/3/19, 117, 53, , 6, 4, 5
2020/3/20, 90, 62, , 8, 5, 5
2020/3/21, 96, 51, , 6, 5, 9
2020/3/22, 93, 53, , 4, 4, 10
2020/3/23, 120, 57, , 4, 3, 7
2020/3/24, 127, 48, , 4, 3, 9
2020/3/25, 107, 30, , 4, 3, 8
2020/3/26, 77, 28, , 3, 3, 5
2020/3/27, 64, 12, , 4, 3, 4
2020/3/28, 51, 15, , 5, 3, 8
