date, pm25, pm10, o3, no2, so2, co
2020/7/2, 82, 30, , 11, 1, 5
2020/7/3, 65, 17, , 7, 2, 6
2020/7/4, 55, , , , , 
2020/6/2, 136, 43, , 10, 4, 8
2020/6/3, 89, 27, , 11, 2, 7
2020/6/4, 70, 34, , 8, 3, 6
2020/6/5, 68, 26, , 17, 2, 7
2020/6/6, 66, 31, , 11, 1, 6
2020/6/7, 63, 37, , 8, 3, 5
2020/6/8, 72, 51, , 10, 2, 7
2020/6/9, 100, 33, , 9, 2, 5
2020/6/10, 71, 33, , 12, 2, 7
2020/6/11, 86, 54, , 15, 1, 11
2020/6/12, 135, 50, , 13, 1, 8
2020/6/13, 114, 36, , 12, 2, 7
2020/6/14, 75, 26, , 9, 2, 7
2020/6/15, 71, 27, , 15, 2, 7
2020/6/16, 66, 37, , 14, 1, 7
2020/6/17, 93, 53, , 15, 1, 7
2020/6/18, 119, 28, , 8, 2, 8
2020/6/19, 83, 31, , 7, 2, 8
2020/6/20, 77, 35, , 7, 2, 5
2020/6/21, 90, 22, , 9, 1, 4
2020/6/22, 63, 27, , 12, 1, 5
2020/6/23, 66, 39, , 13, 1, 7
2020/6/24, 100, 32, , 5, 2, 8
2020/6/25, 83, 45, , 5, 2, 8
2020/6/26, 116, 44, , 9, 2, 9
2020/6/27, 98, 27, , 7, 1, 7
2020/6/28, 63, 22, , 14, 1, 7
2020/6/29, 60, 27, , 6, 1, 6
2020/6/30, 71, 42, , 12, 3, 8
2020/7/1, 88, 45, , 15, 2, 6
2020/5/2, 142, 51, , 17, 1, 8
2020/5/3, 130, 61, , 24, 2, 9
2020/5/4, 135, 74, , 18, 2, 9
2020/5/5, 141, 39, , 13, 1, 8
2020/5/6, 102, 53, , 14, 1, 10
2020/5/7, 121, 43, , 11, 1, 6
2020/5/8, 88, 39, , 12, 2, 6
2020/5/9, 80, 40, , 10, 2, 8
2020/5/10, 90, 56, , 13, 3, 9
2020/5/11, 133, 74, , 17, 4, 9
2020/5/12, 147, 57, , 14, 4, 6
2020/5/13, 74, 69, , 18, 4, 6
2020/5/14, 77, 57, , 17, 4, 7
2020/5/15, 98, 44, , 16, 2, 9
2020/5/16, 106, 52, , 19, 3, 10
2020/5/17, 123, 59, , 17, 3, 8
2020/5/18, 133, 60, , 12, 4, 8
