date, pm25, pm10, o3, no2, so2, co
2020/7/2, 85, 58, , 14, 3, 6
2020/7/3, 135, 26, , 8, 2, 4
2020/7/4, 61, 33, , 11, 3, 3
2020/7/5, 67, , , , , 
2020/6/2, 130, 119, , 23, 5, 6
2020/6/3, 128, 135, , 29, 7, 7
2020/6/4, 143, 101, , 19, 10, 6
2020/6/5, 133, 83, , 14, 10, 7
2020/6/6, 110, 66, , 17, 5, 8
2020/6/7, 89, 85, , 19, 6, 5
2020/6/8, 106, 102, , 14, 6, 4
2020/6/9, 120, 67, , 9, 6, 3
2020/6/10, 95, 49, , 11, 4, 8
2020/6/11, 105, 62, , 15, 4, 5
2020/6/12, 97, 28, , 9, 4, 5
2020/6/13, 53, 48, , 9, 3, 7
2020/6/14, 105, 61, , 17, 4, 10
2020/6/15, 126, 63, , 16, 5, 8
2020/6/16, 131, 37, , 11, 5, 8
2020/6/17, 88, 8, , 8, 2, 3
2020/6/18, 29, 24, , 13, 3, 9
2020/6/19, 57, 52, , 17, 4, 11
2020/6/20, 98, 56, , 18, 2, 5
2020/6/21, 101, 55, , 14, 2, 4
2020/6/22, 113, 35, , 8, 2, 3
2020/6/23, 72, 25, , 10, 2, 5
2020/6/24, 66, 47, , 14, 5, 7
2020/6/25, 93, 58, , 16, 4, 5
2020/6/26, 114, 63, , 14, 5, 7
2020/6/27, 126, 79, , 12, 7, 8
2020/6/28, 156, 41, , 8, 7, 5
2020/6/29, 84, 26, , 8, 6, 5
2020/6/30, 57, 42, , 11, 3, 7
2020/7/1, 86, 47, , 15, 3, 5
2020/5/2, 133, 62, , 15, 3, 6
2020/5/3, 138, 76, , 18, 5, 8
2020/5/4, 160, 51, , 9, 3, 6
2020/5/5, 115, 56, , 14, 5, 6
2020/5/6, 89, 54, , 15, 4, 4
2020/5/7, 105, 49, , 15, 2, 5
2020/5/8, 101, 27, , 11, 2, 7
2020/5/9, 81, 33, , 8, 3, 4
2020/5/10, 90, 48, , 11, 3, 6
2020/5/11, 116, 72, , 20, 4, 7
2020/5/12, 113, 112, , 19, 9, 6
2020/5/13, 107, 97, , 14, 5, 6
2020/5/14, 105, 66, , 14, 3, 6
2020/5/15, 120, 68, , 16, 3, 8
2020/5/16, 153, 71, , 14, 5, 8
2020/5/17, 136, 72, , 15, 5, 7
2020/5/18, 120, 67, , 10, 4, 5
2020/5/19, 91, 63, , 23, 5, 5
2020/5/20, 87, 71, , 20, 7, 6
2020/5/21, 110, 68, , 13, 5, 5
2020/5/22, 116, 62, , 13, 6, 6
2020/5/23, 118, 71, , 10, 9, 7
2020/5/24, 114, 56, , 16, 10, 9
2020/5/25, 97, 51, , 12, 8, 5
2020/5/26, 87, 57, , 14, 8, 6
2020/5/27, 97, 70, , 25, 5, 6
2020/5/28, 115, 71, , 22, 5, 5
2020/5/29, 108, 73, , 13, 6, 6
2020/5/30, 107, 35, , 10, 4, 4
2020/5/31, 77, 70, , 16, 4, 7
2020/6/1, 148, 74, , 18, 4, 7
2020/4/2, 145, 73, , 27, 7, 8
2020/4/3, 127, 95, , 32, 9, 10
2020/4/4, 164, 103, , 28, 8, 11
2020/4/5, 154, 71, , 20, 6, 6
2020/4/6, 93, 62, , 24, 5, 6
2020/4/7, 111, 62, , 28, 6, 8
2020/4/8, 118, 85, , 31, 8, 8
2020/4/9, 150, 66, , 13, 5, 4
2020/4/10, 117, 50, , 13, 4, 5
2020/4/11, 117, 55, , 15, 4, 9
2020/4/12, 144, 71, , 15, 7, 7
2020/4/13, 135, 69, , 24, 8, 7
2020/4/14, 114, 67, , 26, 6, 7
2020/4/15, 133, 70, , 22, 5, 8
2020/4/16, 133, 68, , 15, 5, 7
2020/4/17, 135, 97, , 24, 8, 10
2020/4/18, 138, 65, , 21, 5, 7
2020/4/19, 144, 49, , 14, 2, 5
2020/4/20, 121, 59, , 17, 5, 6
2020/4/21, 124, 63, , 21, 5, 4
2020/4/22, 105, 63, , 19, 5, 5
2020/4/23, 99, 73, , 25, 8, 7
2020/4/24, 119, 79, , 26, 9, 7
2020/4/25, 146, 78, , 17, 6, 4
2020/4/26, 127, 64, , 17, 4, 4
2020/4/27, 96, 38, , 12, 2, 4
2020/4/28, 81, 51, , 21, 3, 6
2020/4/29, 106, 66, , 22, 4, 5
2020/4/30, 135, 81, , 24, 6, 7
2020/5/1, 145, 63, , 14, 4, 7
2020/3/2, 148, 70, , 21, 5, 11
2020/3/3, 156, 62, , 31, 4, 8
2020/3/4, 152, 60, , 26, 6, 9
2020/3/5, 128, 68, , 21, 5, 7
2020/3/6, 139, 63, , 21, 4, 7
2020/3/7, 150, 95, , 28, 6, 14
2020/3/8, 175, 78, , 18, 4, 8
2020/3/9, 169, 63, , 18, 5, 17
2020/3/10, 145, 62, , 15, 5, 8
2020/3/11, 152, 82, , 21, 5, 9
2020/3/12, 147, 74, , 21, 5, 9
2020/3/13, 144, 66, , 18, 4, 7
2020/3/14, 124, 64, , 17, 5, 8
2020/3/15, 128, 70, , 25, 9, 7
2020/3/16, 121, 60, , 17, 5, 7
2020/3/17, 103, 91, , 25, 9, 10
2020/3/18, 162, 103, , 29, 9, 10
2020/3/19, 160, 150, , 15, 5, 6
2020/3/20, 97, 88, , 24, 8, 9
2020/3/21, 132, 87, , 31, 10, 9
2020/3/22, 152, 74, , 16, 7, 7
2020/3/23, 118, 62, , 23, 7, 5
2020/3/24, 111, 63, , 21, 6, 5
2020/3/25, 110, 55, , 23, 4, 7
2020/3/26, 132, 82, , 17, 5, 12
2020/3/27, 166, 46, , 16, 8, 9
2020/3/28, 80, 55, , 18, 7, 6
2020/3/29, 101, 56, , 22, 7, 7
2020/3/30, 100, 55, , 14, 5, 7
2020/3/31, 119, 59, , 20, 5, 6
2020/4/1, 118, 76, , 20, 7, 8
2020/2/2, 182, 100, , 12, 5, 12
2020/2/3, 201, 81, , 8, 5, 11
2020/2/4, 172, 75, , 9, 4, 11
2020/2/5, 166, 50, , 5, 3, 7
2020/2/6, 112, 30, , 3, 2, 4
2020/2/7, 74, 41, , 5, 3, 7
2020/2/8, 99, 53, , 8, 3, 7
2020/2/9, 136, 65, , 8, 4, 8
2020/2/10, 160, 64, , 9, 4, 8
2020/2/11, 150, 56, , 8, 3, 7
2020/2/12, 145, 46, , 6, 3, 7
2020/2/13, 121, 50, , 6, 3, 9
2020/2/14, 127, 41, , 7, 3, 9
2020/2/15, 115, 26, , 5, 3, 7
2020/2/16, 78, 37, , 5, 4, 5
2020/2/17, 78, 40, , 7, 4, 5
2020/2/18, 87, 47, , 11, 4, 6
2020/2/19, 108, 60, , 18, 4, 6
2020/2/20, 144, 81, , 23, 4, 8
2020/2/21, 169, 91, , 20, 4, 9
2020/2/22, 172, 86, , 19, 5, 8
2020/2/23, 134, 91, , 19, 5, 8
2020/2/24, 160, 98, , 20, 4, 10
2020/2/25, 174, 84, , 18, 4, 13
2020/2/26, 175, 59, , 13, 3, 8
2020/2/27, 140, 47, , 14, 4, 8
2020/2/28, 103, 49, , 18, 3, 8
2020/2/29, 133, 47, , 13, 3, 7
2020/3/1, 121, 64, , 16, 4, 11
2020/1/2, 151, 90, , 24, 5, 9
2020/1/3, 170, 124, , 36, 10, 16
2020/1/4, 197, 169, , 42, 11, 19
2020/1/5, 266, 116, , 22, 5, 13
2020/1/6, 209, 52, , 20, 3, 16
2020/1/7, 125, 32, , 18, 3, 13
2020/1/8, 94, 69, , 18, 7, 11
2020/1/9, 153, 75, , 24, 7, 11
2020/1/10, 162, 76, , 24, 7, 11
2020/1/11, 161, 113, , 29, 10, 16
2020/1/12, 214, 144, , 30, 7, 21
2020/1/13, 248, 141, , 24, 6, 19
2020/1/14, 252, 121, , 27, 10, 17
2020/1/15, 214, 92, , 22, 8, 13
2020/1/16, 178, 76, , 22, 4, 12
2020/1/17, 171, 99, , 19, 6, 11
2020/1/18, 190, 106, , 20, 4, 11
2020/1/19, 190, 123, , 22, 4, 14
2020/1/20, 218, 128, , 25, 7, 15
2020/1/21, 205, 119, , 24, 4, 12
2020/1/22, 206, 87, , 21, 5, 12
2020/1/23, 167, 73, , 18, 5, 11
2020/1/24, 161, 118, , 9, 5, 13
2020/1/25, 217, 57, , 6, 7, 7
2020/1/26, 141, 62, , 8, 6, 10
2020/1/27, 156, 74, , 8, 5, 12
2020/1/28, 170, 68, , 8, 4, 7
2020/1/29, 157, 81, , 9, 6, 10
2020/1/30, 175, 117, , 10, 5, 12
2020/1/31, 222, 76, , 12, 4, 9
2020/2/1, 169, 93, , 13, 4, 9
2019/10/2, 111, 65, , 18, 5, 10
2019/10/3, 123, 84, , 36, 6, 9
2019/10/4, 143, 86, , 26, 5, 8
2019/10/5, 146, 35, , 12, 3, 5
2019/10/6, 64, 38, , 14, 3, 6
2019/10/7, 69, 38, , 13, 2, 6
2019/10/8, 84, 63, , 28, 4, 8
2019/10/9, 117, 70, , 32, 5, 6
2019/10/10, 139, 60, , 19, 3, 7
2019/10/11, 104, 58, , 18, 6, 11
2019/10/12, 119, 47, , 18, 3, 8
2019/10/13, 96, 73, , 26, 4, 8
2019/10/14, 117, 57, , 18, 3, 7
2019/10/15, 89, 48, , 19, 4, 5
2019/10/16, 73, 80, , 31, 8, 11
2019/10/17, 145, 75, , 28, 10, 12
2019/10/18, 154, 88, , 34, 7, 13
2019/10/19, 169, 89, , 35, 6, 11
2019/10/20, 155, 76, , 31, 5, 7
2019/10/21, 148, 83, , 35, 6, 8
2019/10/22, 156, 89, , 36, 6, 8
2019/10/23, 153, 99, , 39, 7, 11
2019/10/24, 163, 124, , 40, 6, 12
2019/10/25, 175, 80, , 23, 8, 7
2019/10/26, 116, 70, , 24, 7, 6
2019/10/27, 113, 85, , 30, 11, 9
2019/10/28, 163, 262, , 28, 8, 7
2019/10/29, 178, 296, , 32, 10, 10
2019/10/30, 185, 206, , 34, 8, 10
2019/10/31, 182, 136, , 41, 11, 11
2019/11/1, 171, 140, , 44, 12, 15
2019/11/2, 187, 101, , 26, 6, 8
2019/11/3, 157, 83, , 24, 8, 8
2019/11/4, 144, 69, , 22, 5, 6
2019/11/5, 112, 101, , 36, 9, 11
2019/11/6, 172, 109, , 39, 8, 9
2019/11/7, 172, 118, , 35, 8, 14
2019/11/8, 183, 89, , 27, 7, 7
2019/11/9, 149, 110, , 29, 7, 11
2019/11/10, 185, 100, , 15, 5, 6
2019/11/11, 131, 139, , 35, 11, 10
2019/11/12, 167, 128, , 35, 9, 8
2019/11/13, 174, 84, , 22, 6, 6
2019/11/14, 129, 87, , 23, 8, 7
2019/11/15, 131, 78, , 27, 7, 8
2019/11/16, 145, 144, , 42, 11, 10
2019/11/17, 194, 104, , 26, 6, 13
2019/11/18, 171, 126, , 15, 5, 4
2019/11/19, 139, 129, , 24, 8, 8
2019/11/20, 160, 103, , 25, 7, 6
2019/11/21, 155, 72, , 23, 5, 5
2019/11/22, 113, 65, , 23, 5, 6
2019/11/23, 122, 79, , 25, 5, 9
2019/11/24, 149, 90, , 22, 5, 13
2019/11/25, 156, 47, , 16, 6, 8
2019/11/26, 85, 73, , 22, 6, 8
2019/11/27, 138, 82, , 22, 9, 8
2019/11/28, 152, 52, , 16, 5, 5
2019/11/29, 95, 79, , 24, 7, 6
2019/11/30, 151, 63, , 24, 5, 8
2019/12/1, 150, 62, , 20, 5, 8
2019/12/2, 157, 77, , 28, 10, 9
2019/12/3, 161, 84, , 29, 9, 10
2019/12/4, 172, 106, , 35, 11, 12
2019/12/5, 188, 88, , 29, 11, 11
2019/12/6, 173, 57, , 19, 5, 6
2019/12/7, 128, 88, , 29, 7, 9
2019/12/8, 178, 116, , 33, 8, 10
2019/12/9, 208, 129, , 34, 10, 11
2019/12/10, 223, 120, , 31, 13, 13
2019/12/11, 218, 113, , 35, 21, 14
2019/12/12, 183, 85, , 29, 14, 9
2019/12/13, 171, 100, , 29, 5, 10
2019/12/14, 189, 90, , 26, 7, 11
2019/12/15, 159, 48, , 20, 5, 7
2019/12/16, 97, 35, , 19, 3, 9
2019/12/17, 100, 81, , 22, 4, 13
2019/12/18, 174, 50, , 16, 3, 6
2019/12/19, 97, 75, , 25, 6, 10
2019/12/20, 153, 103, , 30, 6, 12
2019/12/21, 195, 116, , 25, 5, 11
2019/12/22, 205, 91, , 23, 3, 10
2019/12/23, 179, 105, , 23, 3, 13
2019/12/24, 195, 76, , 19, 4, 9
2019/12/25, 163, 52, , 22, 2, 9
2019/12/26, 136, 70, , 22, 4, 12
2019/12/27, 163, 85, , 24, 4, 13
2019/12/28, 157, 74, , 20, 4, 9
2019/12/29, 155, 83, , 26, 5, 10
2019/12/30, 168, , , , , 
2019/7/2, 114, 62, 100, 16, 2, 6
2019/7/3, 129, 68, 113, 17, 3, 6
2019/7/4, 135, 73, 81, 19, 4, 10
2019/7/5, 141, 70, 113, 16, 4, 8
2019/7/6, 136, 52, 49, 13, 2, 6
2019/7/7, 107, 56, 86, 11, 3, 8
2019/7/8, 115, 50, 60, 8, 2, 5
2019/7/9, 90, 52, 60, 8, 1, 5
2019/7/10, 101, 56, 52, 18, 2, 10
2019/7/11, 129, 61, 85, 19, 2, 7
2019/7/12, 142, 68, 69, 19, 5, 9
2019/7/13, 145, 69, 91, 15, 2, 7
2019/7/14, 139, 66, 74, 17, 3, 6
2019/7/15, 110, 71, 110, 18, 3, 7
2019/7/16, 131, 75, 99, 17, 1, 8
2019/7/17, 144, 54, 31, 9, 1, 5
2019/7/18, 102, 41, 31, 7, 2, 4
2019/7/19, 72, 37, 12, 7, 2, 4
2019/7/20, 67, 43, 55, 11, 2, 6
2019/7/21, 77, 61, 80, 12, 3, 7
2019/7/22, 97, 62, 93, 11, 3, 6
2019/7/23, 123, 48, 105, 11, 2, 5
2019/7/24, 93, 29, 53, 13, 4, 5
2019/7/25, 59, 34, 61, 13, 4, 6
2019/7/26, 65, 42, 66, 12, 6, 11
2019/7/27, 86, 36, 64, 9, 4, 6
2019/7/28, 75, 31, 60, 8, 5, 5
2019/7/29, 61, 48, 68, 10, 3, 6
2019/7/30, 90, 51, 61, 10, 2, 6
2019/7/31, 87, 33, 61, 9, 2, 5
2019/8/1, 70, 41, 38, 15, 3, 7
2019/8/2, 72, 36, , 10, 3, 9
2019/8/3, 75, 40, , 14, 2, 5
2019/8/4, 69, 36, , 8, 2, 4
2019/8/5, 64, 31, , 11, 2, 5
2019/8/6, 61, 43, , 12, 2, 5
2019/8/7, 72, 34, , 14, 2, 5
2019/8/8, 65, 56, , 16, 3, 6
2019/8/9, 113, 41, , 10, 2, 3
2019/8/10, 69, 29, , 9, 3, 6
2019/8/11, 54, 14, , 5, 2, 5
2019/8/12, 19, 16, , 6, 2, 4
2019/8/13, 30, 31, , 7, 3, 5
2019/8/14, 57, 46, , 12, 3, 8
2019/8/15, 78, 62, , 15, 5, 9
2019/8/16, 99, 62, , 18, 4, 10
2019/8/17, 119, 57, , 21, 6, 14
2019/8/18, 95, 72, , 26, 5, 8
2019/8/19, 107, 50, , 19, 4, 7
2019/8/20, 83, 41, , 19, 2, 4
2019/8/21, 64, 61, , 22, 6, 11
2019/8/22, 106, 76, , 19, 5, 12
2019/8/23, 147, 87, , 34, 7, 11
2019/8/24, 153, 70, , 25, 4, 8
2019/8/25, 126, 51, , 14, 3, 6
2019/8/26, 85, 53, , 9, 4, 5
2019/8/27, 92, 50, , 15, 4, 9
2019/8/28, 103, 53, , 13, 5, 8
2019/8/29, 110, 59, , 20, 6, 7
2019/8/30, 111, 58, , 23, 7, 7
2019/8/31, 91, 61, , 22, 6, 6
2019/9/1, 97, 56, , 17, 5, 6
2019/9/2, 94, 60, , 18, 6, 9
2019/9/3, 112, 47, , 15, 5, 5
2019/9/4, 75, 54, , 20, 5, 7
2019/9/5, 99, 67, , 27, 8, 8
2019/9/6, 119, 76, , 31, 7, 7
2019/9/7, 141, 71, , 21, 7, 7
2019/9/8, 141, 88, , 31, 7, 12
2019/9/9, 160, 89, , 28, 4, 9
2019/9/10, 157, 63, , 17, 5, 7
2019/9/11, 110, 66, , 14, 4, 11
2019/9/12, 108, 55, , 17, 5, 6
2019/9/13, 83, 59, , 13, 3, 7
2019/9/14, 106, 48, , 14, 5, 8
2019/9/15, 78, 56, , 21, 7, 6
2019/9/16, 81, 44, , 17, 6, 7
2019/9/17, 79, 77, , 21, 6, 10
2019/9/18, 130, 84, , 20, 6, 9
2019/9/19, 132, 60, , 24, 4, 6
2019/9/20, 83, 62, , 30, 6, 6
2019/9/21, 92, 67, , 24, 6, 7
2019/9/22, 99, 69, , 23, 11, 8
2019/9/23, 109, 67, , 27, 11, 10
2019/9/24, 105, 85, , 37, 7, 9
2019/9/25, 137, 97, , 36, 11, 13
2019/9/26, 158, 57, , 21, 4, 6
2019/9/27, 93, 62, , 20, 3, 5
2019/9/28, 105, 65, , 21, 3, 6
2019/9/29, 120, 68, , 27, 3, 5
2019/9/30, 128, 63, , 24, 3, 5
2019/10/1, 119, 59, , 14, 3, 5
2019/4/2, 148, 97, 61, 21, 8, 10
2019/4/3, 165, 74, 73, 18, 6, 6
2019/4/4, 145, 89, 89, 29, 6, 8
2019/4/5, 161, 93, 72, 27, 8, 8
2019/4/6, 165, 88, 75, 17, 7, 7
2019/4/7, 150, 117, 61, 17, 7, 10
2019/4/8, 174, 84, 58, 13, 6, 7
2019/4/9, 149, 31, 41, 11, 4, 5
2019/4/10, 82, 57, 38, 18, 6, 7
2019/4/11, 136, 75, 52, 26, 5, 7
2019/4/12, 152, 81, 61, 25, 5, 7
2019/4/13, 163, 69, 78, 15, 5, 5
2019/4/14, 154, 72, 53, 16, 8, 7
2019/4/15, 139, 87, 69, 24, 7, 6
2019/4/16, 146, 73, 58, 22, 6, 6
2019/4/17, 152, 80, 73, 17, 7, 7
2019/4/18, 150, 82, 93, 15, 6, 7
2019/4/19, 140, 90, 56, 12, 7, 4
2019/4/20, 104, 74, 43, 18, 6, 4
2019/4/21, 137, 74, 24, 20, 5, 12
2019/4/22, 161, 45, 21, 12, 4, 4
2019/4/23, 116, 65, 24, 15, 4, 9
2019/4/24, 157, 63, 37, 14, 5, 10
2019/4/25, 155, 55, 33, 12, 6, 6
