date, pm25, pm10, o3, no2, so2, co
2020/7/2, 85, 44, , 15, 2, 5
2020/7/3, 78, 30, , 8, , 3
2020/7/4, 54, 28, , 2, 1, 2
2020/7/5, 70, , , , , 
2020/6/2, 111, 58, , 13, 5, 7
2020/6/3, 72, 45, , 11, 4, 4
2020/6/4, 53, 65, , 11, 6, 5
2020/6/5, 60, 43, , 13, 5, 3
2020/6/6, 53, 50, , 9, 5, 2
2020/6/7, 64, 55, , 13, 6, 3
2020/6/8, 66, 66, , 10, 7, 4
2020/6/9, 85, 44, , 5, 4, 2
2020/6/10, 66, 47, , 7, 4, 5
2020/6/11, 77, 43, , 5, 4, 4
2020/6/12, 75, 42, , 11, 4, 7
2020/6/13, 70, 19, , 12, 4, 6
2020/6/14, 36, 21, , 8, 3, 5
2020/6/15, 54, 28, , 13, 4, 7
2020/6/16, 65, 22, , 7, 3, 5
2020/6/17, 66, 63, , 12, 4, 6
2020/6/18, 106, 21, , 6, 4, 4
2020/6/19, 40, 26, , 7, 4, 4
2020/6/20, 65, 54, , 11, 5, 5
2020/6/21, 118, 30, , 7, 4, 4
2020/6/22, 55, 40, , 8, 4, 4
2020/6/23, 69, 24, , 12, 4, 6
2020/6/24, 53, 41, , 8, 4, 5
2020/6/25, 78, 55, , 7, 5, 5
2020/6/26, 112, 58, , 10, 6, 7
2020/6/27, 103, 44, , 10, 5, 5
2020/6/28, 57, 32, , 7, 4, 4
2020/6/29, 63, 17, , 4, 4, 3
2020/6/30, 37, 36, , 9, 4, 3
2020/7/1, 85, 47, , 8, 2, 5
2020/5/2, 93, 59, , 8, 3, 6
2020/5/3, 95, 72, , 18, 5, 7
2020/5/4, 111, 50, , 6, 3, 4
2020/5/5, 79, 31, , 4, 2, 3
2020/5/6, 62, 42, , 6, 2, 3
2020/5/7, 73, 59, , 9, 3, 5
2020/5/8, 95, 50, , 10, 3, 5
2020/5/9, 62, 30, , 5, , 4
2020/5/10, 73, 42, , 7, 2, 4
2020/5/11, 110, 61, , 18, 4, 5
2020/5/12, 97, 66, , 16, 4, 3
2020/5/13, 53, 93, , 14, 5, 5
2020/5/14, 70, 57, , 17, 4, 5
2020/5/15, 67, 60, , 11, 2, 6
2020/5/16, 96, 72, , 18, 4, 8
2020/5/17, 120, 55, , 20, 5, 7
2020/5/18, 77, 60, , 8, 4, 3
2020/5/19, 54, 56, , 13, 5, 2
2020/5/20, 57, 78, , 24, 7, 5
2020/5/21, 113, 68, , 11, 5, 4
2020/5/22, 86, 48, , 9, 4, 2
2020/5/23, 57, 49, , 9, 4, 3
2020/5/24, 67, 48, , 7, 4, 3
2020/5/25, 67, 58, , 16, 5, 4
2020/5/26, 102, 58, , 10, 3, 5
2020/5/27, 116, 57, , 10, 4, 5
2020/5/28, 85, 71, , 14, 6, 6
2020/5/29, 91, 77, , 21, 6, 6
2020/5/30, 113, 37, , 9, 2, 2
2020/5/31, 60, 61, , 13, 3, 4
2020/6/1, 102, 73, , 16, 5, 5
2020/4/2, 90, 44, , 8, 1, 3
2020/4/3, 54, 49, , 9, 2, 4
2020/4/4, 81, 76, , 18, 3, 5
2020/4/5, 127, 45, , 6, 5, 4
