date, pm25, pm10, o3, no2, so2, co
2020/7/2, 54, 27, 77, 9, 4, 4
2020/7/3, 57, 45, 78, 16, 5, 5
2020/7/4, 76, 56, 23, 32, 5, 6
2020/7/5, 97, , , , , 
2020/6/2, 121, 29, 35, 11, 3, 2
2020/6/3, 51, 36, 77, 11, 5, 2
2020/6/4, 57, 54, 76, 18, 9, 4
2020/6/5, 94, 46, 94, 14, 6, 3
2020/6/6, 78, 65, 93, 23, 11, 6
2020/6/7, 113, 47, 69, 11, 5, 4
2020/6/8, 94, 43, 33, 13, 3, 5
2020/6/9, 94, 44, 83, 12, 6, 4
2020/6/10, 80, 44, 74, 12, 5, 5
2020/6/11, 85, 59, 77, 15, 3, 6
2020/6/12, 117, 66, 59, 15, 3, 7
2020/6/13, 148, 47, 36, 18, 3, 6
2020/6/14, 95, 32, 34, 13, 2, 5
2020/6/15, 64, 41, 58, 14, 3, 6
2020/6/16, 72, 50, 62, 12, 2, 7
2020/6/17, 104, 22, 30, 10, 2, 5
2020/6/18, 44, 25, 45, 13, 3, 4
2020/6/19, 42, 47, 65, 20, 6, 6
2020/6/20, 79, 47, 38, 16, 6, 6
2020/6/21, 96, 61, 30, 14, 6, 7
2020/6/22, 125, 57, 26, 17, 2, 8
2020/6/23, 127, 34, 32, 14, 2, 7
2020/6/24, 68, 25, 54, 11, 2, 5
2020/6/25, 50, 42, 79, 15, 4, 6
2020/6/26, 81, 47, 66, 13, 3, 7
2020/6/27, 90, 19, 39, 9, 5, 5
2020/6/28, 45, 35, 58, 17, 3, 6
2020/6/29, 68, 48, 64, 19, 5, 7
2020/6/30, 82, 25, 34, 11, 2, 6
2020/7/1, 57, 23, 36, 10, 1, 5
2020/5/2, 137, 56, 87, 23, 6, 8
2020/5/3, 98, 71, 95, 26, 7, 8
2020/5/4, 124, 53, 89, 14, 5, 6
2020/5/5, 102, 40, 91, 9, 5, 6
2020/5/6, 83, 46, 85, 12, 6, 7
2020/5/7, 99, 64, 77, 15, 4, 8
2020/5/8, 140, 32, 52, 10, 3, 6
2020/5/9, 57, 43, 36, 13, 4, 6
2020/5/10, 77, 40, 67, 14, 5, 5
2020/5/11, 67, 62, 45, 18, 7, 6
2020/5/12, 112, 73, 43, 17, 6, 5
2020/5/13, 94, 79, 55, 12, 4, 6
2020/5/14, 126, 81, 70, 14, 7, 5
2020/5/15, 157, 63, 81, 13, 6, 5
2020/5/16, 135, 54, 47, 16, 3, 6
2020/5/17, 113, 49, 64, 16, 4, 4
2020/5/18, 88, 47, 78, 17, 6, 3
2020/5/19, 82, 67, 105, 19, 10, 4
2020/5/20, 121, 60, 63, 11, 3, 7
2020/5/21, 135, 53, 33, 12, 2, 5
2020/5/22, 104, 40, 30, 13, 3, 4
2020/5/23, 78, 49, 71, 15, 4, 4
2020/5/24, 90, 44, 29, 18, 4, 4
2020/5/25, 85, 20, 29, 12, 2, 3
2020/5/26, 50, 44, 23, 18, 5, 5
2020/5/27, 83, 54, 30, 19, 5, 5
2020/5/28, 104, 33, 45, 12, 4, 4
2020/5/29, 69, 33, 60, 13, 4, 5
2020/5/30, 62, 58, 86, 21, 5, 4
2020/5/31, 103, 67, 81, 15, 3, 6
2020/6/1, 139, 61, 71, 16, 7, 5
2020/4/2, 129, 93, 27, 17, 5, 7
2020/4/3, 167, 25, 15, 10, 2, 7
2020/4/4, 62, 28, 21, 11, 2, 6
2020/4/5, 68, 53, 26, 17, 4, 6
2020/4/6, 120, 65, 32, 19, 6, 7
2020/4/7, 142, 59, 43, 21, 6, 7
2020/4/8, 131, 44, 51, 14, 4, 5
2020/4/9, 93, 51, 54, 22, 6, 7
2020/4/10, 103, 52, 54, 19, 4, 7
2020/4/11, 120, 50, 45, 12, 3, 6
2020/4/12, 95, 44, 39, 14, 4, 6
2020/4/13, 85, 48, 35, 16, 4, 7
2020/4/14, 100, 47, 52, 18, 6, 6
2020/4/15, 100, 65, 88, 27, 8, 6
2020/4/16, 135, 77, 74, 21, 7, 7
2020/4/17, 159, 78, 73, 17, 7, 7
2020/4/18, 163, 57, 38, 11, 5, 5
2020/4/19, 108, 66, 35, 13, 5, 5
2020/4/20, 149, 51, 41, 11, 3, 6
2020/4/21, 107, 46, 22, 11, 3, 5
2020/4/22, 105, 29, 29, 10, 3, 4
2020/4/23, 68, 27, 31, 11, 3, 4
2020/4/24, 76, 39, 44, 17, 5, 5
2020/4/25, 81, 53, 43, 22, 7, 6
2020/4/26, 113, 52, 66, 23, 6, 6
2020/4/27, 87, 56, 66, 25, 5, 5
2020/4/28, 92, 59, 84, 26, 7, 6
2020/4/29, 91, 64, 96, 20, 6, 8
2020/4/30, 123, 63, 88, 12, 6, 7
2020/5/1, 134, 71, 88, 19, 9, 7
2020/3/2, 140, 51, 27, 8, 2, 6
2020/3/3, 100, 34, 24, 11, 3, 5
2020/3/4, 71, 38, 39, 12, 5, 5
2020/3/5, 75, 59, 29, 16, 10, 6
2020/3/6, 132, 66, 44, 17, 6, 7
2020/3/7, 147, 76, 53, 16, 6, 9
2020/3/8, 159, 74, 49, 15, 5, 8
2020/3/9, 158, 61, 33, 10, 3, 7
2020/3/10, 102, 43, 35, 9, 3, 4
2020/3/11, 77, 69, 30, 16, 5, 4
2020/3/12, 142, 74, 42, 15, 5, 6
2020/3/13, 148, 84, 41, 19, 5, 7
2020/3/14, 161, 80, 30, 16, 4, 5
2020/3/15, 147, 71, 29, 14, 4, 5
2020/3/16, 130, 58, 29, 13, 2, 6
2020/3/17, 116, 39, 31, 13, 3, 5
2020/3/18, 68, 51, 45, 20, 8, 5
2020/3/19, 90, 46, 56, 16, 4, 5
2020/3/20, 75, 66, 79, 23, 7, 6
2020/3/21, 129, 75, 90, 23, 6, 7
2020/3/22, 142, 63, 64, 17, 3, 5
2020/3/23, 121, 75, 73, 24, 5, 6
2020/3/24, 138, 84, 76, 19, 6, 7
2020/3/25, 155, 89, 93, 24, 8, 8
2020/3/26, 158, 83, 79, 20, 6, 8
2020/3/27, 158, 38, 24, 11, 2, 5
2020/3/28, 81, 34, 16, 13, 3, 5
2020/3/29, 74, 15, 11, 10, 3, 4
2020/3/30, 39, 40, 29, 12, 4, 5
2020/3/31, 92, 51, 50, 12, 4, 5
2020/4/1, 104, 65, 47, 16, 6, 6
2020/2/2, 125, 53, 18, 6, 2, 8
2020/2/3, 131, 35, 31, 7, 2, 6
2020/2/4, 90, 48, 23, 11, 5, 7
2020/2/5, 121, 56, 21, 10, 3, 7
2020/2/6, 139, 52, 25, 7, 2, 7
2020/2/7, 129, 69, 13, 10, 4, 8
2020/2/8, 157, 73, 21, 7, 3, 8
2020/2/9, 156, 35, 28, 7, 3, 7
2020/2/10, 83, 53, 26, 8, 5, 8
2020/2/11, 131, 65, 37, 11, 6, 8
2020/2/12, 143, 67, 37, 13, 7, 8
2020/2/13, 157, 79, 46, 14, 5, 8
2020/2/14, 169, 100, 28, 11, 3, 9
2020/2/15, 185, 67, 28, 5, 2, 4
2020/2/16, 91, 58, 34, 5, 3, 3
2020/2/17, 95, 58, 32, 11, 5, 5
2020/2/18, 124, 74, 21, 13, 5, 6
2020/2/19, 159, 70, 40, 9, 4, 5
2020/2/20, 140, 95, 25, 13, 4, 7
2020/2/21, 180, 65, 34, 10, 3, 6
2020/2/22, 135, 98, 24, 15, 9, 7
2020/2/23, 189, 99, 27, 14, 6, 7
2020/2/24, 184, 100, 33, 15, 5, 8
2020/2/25, 182, 79, 43, 15, 7, 8
2020/2/26, 168, 87, 43, 17, 7, 8
2020/2/27, 178, 107, 34, 17, 7, 10
2020/2/28, 189, 50, 39, 11, 3, 8
2020/2/29, 105, 42, 47, 16, 7, 8
2020/3/1, 95, 64, 44, 15, 6, 9
2020/1/2, 191, 110, 10, 20, 5, 11
2020/1/3, 207, 102, 18, 22, 5, 10
2020/1/4, 193, 97, 20, 21, 7, 10
2020/1/5, 185, 100, 20, 19, 4, 8
2020/1/6, 185, 76, 20, 17, 3, 10
2020/1/7, 169, 62, 25, 20, 5, 10
2020/1/8, 149, 77, 20, 25, 5, 10
2020/1/9, 162, 84, 25, 26, 6, 10
2020/1/10, 168, 61, 21, 14, 3, 10
2020/1/11, 136, 55, 38, 18, 3, 11
2020/1/12, 127, 63, 37, 25, 8, 12
2020/1/13, 144, 73, 21, 20, 5, 11
2020/1/14, 161, 87, 16, 19, 4, 11
2020/1/15, 169, 62, 17, 14, 3, 10
2020/1/16, 141, 61, 16, 15, 4, 9
2020/1/17, 146, 73, 13, 19, 5, 11
2020/1/18, 163, 71, 16, 15, 3, 10
2020/1/19, 157, 60, 24, 17, 3, 11
2020/1/20, 139, 70, 26, 17, 4, 10
2020/1/21, 158, 83, 31, 16, 4, 9
2020/1/22, 166, 87, 33, 19, 5, 10
2020/1/23, 170, 93, 32, 14, 3, 10
2020/1/24, 174, 95, 20, 10, 2, 10
2020/1/25, 176, 53, 29, 7, 2, 8
2020/1/26, 128, 52, 27, 8, 4, 8
2020/1/27, 117, 53, 19, 7, 2, 8
2020/1/28, 129, 47, 17, 7, 2, 9
2020/1/29, 111, 52, 23, 8, 3, 9
2020/1/30, 125, 61, 15, 10, 2, 9
2020/1/31, 152, 50, 26, 7, 2, 7
2020/2/1, 117, 51, 23, 8, 2, 7
2019/10/2, 162, 59, 38, 12, 4, 8
2019/10/3, 143, 63, 41, 12, 3, 8
2019/10/4, 148, 47, 27, 11, 3, 8
2019/10/5, 109, 26, 37, 11, 5, 7
2019/10/6, 51, 38, 24, 13, 6, 8
