beforevsafter,2019vs2020,pm25,pm10,o3,no2,so2,co
before,2019,149.6301,107.6164,24.57534,25.80822,27.47945,21.63014
before,2019,113.4744,72.42308,17.47436,23.01282,4.692308,9.179487
before,2019,148,92.80519,24.05195,22.88312,23.32468,21.03896
before,2019,161.4615,101.4744,22.0641,26.07692,16.30769,12.46154
before,2019,136.7436,69.37179,19.05405,27.28205,5.269231,9
before,2019,95.01282,63.35897,22.9863,15.61538,16.78205,9.166667
before,2019,159.6301,82.72603,29.94521,25.69863,6.205479,9.712329
before,2019,107.5897,64.58974,24.35065,17.5,10.14103,8.717949
before,2019,125.4935,69.12987,23.44156,17.03896,22.02597,13.33766
before,2019,91.91026,38.33333,24.35897,10.37179,3.613333,9.077922
before,2019,136.1299,86.87013,27.66234,16.94805,38.94805,10.06494
before,2019,105.6154,53.69231,26.78205,15.92308,10.55128,14.39726
before,2019,108.2564,53.0641,21.26667,25.71795,3.564103,9.5
before,2019,144.9487,76.08974,18.0641,29.05128,5.576923,11.29487
before,2019,148.6712,69.85915,22.42466,25.58904,4,9.726027
before,2019,159.1948,96.50649,23.1039,24.81818,39.88312,16.5974
before,2019,160.8961,103.6364,24.64935,24.31169,40.14286,15.07792
before,2019,134.2564,73.38462,26.44872,23.07692,6.628205,13.46575
before,2019,144.7949,81.28205,23.16216,29.37179,6.564103,10.9359
before,2019,130.1169,69.57143,24.41558,19.16883,13.1039,12.27273
before,2019,118.641,49.34615,27.16667,25.29487,3.974359,6.435897
before,2019,141.1923,70.75641,26.04054,31.87179,6.679487,10.67949
before,2019,178.5897,136.0641,20.71795,36.14103,25.89744,22.85135
before,2019,134.3333,79.83333, NaN,27.82051,8.679487,11.79487
before,2019,161,72.23077,22.46154,30.64103,6.448718,15.19231
before,2019,131.9103,74.47436,21.86486,28.4359,6.679487,11.5
before,2019,131.589,56.54795, NaN,17.56164,4.438356,9.69863
before,2019,174.7051,105.3462,21.10811,26.87179,7.807692,10.55128
before,2019,142.1579,77.96053,28.85135,22.22368,5.105263,8.236842
before,2019,163.3205,80.55128,21.88462,20.70513,9.589744,9.769231
after,2019,125.825,85.5125,42.6125,23,17.3,13.175
after,2019,117.1125,62.7875,38.3,18.4375,2.746835,6.3125
after,2019,133.9375,91.125,41.2875,22.1625,16.35,17.225
after,2019,132.3125,77.925,44.9375,19.325,10.7875,7.365854
