pm25_all2020,beforevsafter,pm25_all2019,population_30cities,30cities,population_discrete,gross_regional_product_measuredbyprovince,industry
111,before,118.641,27125175,shanghai,big,30632.99,8392.84
96.5875,after,119.375,27125175,shanghai,big,30632.99,8392.84
115.013,before,113.4744,20501799,beijing,big,28014.94,4274
101.325,after,117.1125,20501799,beijing,big,28014.94,4274
137.974,before,134.3333,13606496,tianjin,big,18549.19,6863.98
113.6125,after,119.4125,13606496,tianjin,big,18549.19,6863.98
107.4286,before,108.2564,13332278,guangzhou,big,89705.23,35291.83
78.125,after,89.5375,13332278,guangzhou,big,89705.23,35291.83
133.5195,before,144.7949,8874287,nanjing,big,85869.76,34013.6
100.65,after,135.4125,8874287,nanjing,big,85869.76,34013.6
147.7013,before,161,8373975,wuhan,big,35478.09,13060.08
123.775,after,150.038,8373975,wuhan,big,35478.09,13060.08
126.2338,before,144.9487,7660494,hangzhou,big,51768.26,19474.48
103.0375,after,130.7125,7660494,hangzhou,big,51768.26,19474.48
111.8312,before,107.5897,5632414,dalian,big,23409.24,7302.41
99.025,after,118.3625,5632414,dalian,big,23409.24,7302.41
130.7143,before,148.6712,4253967,hefei,big,27018,10916.31
97.575,after,131.45,4253967,hefei,big,27018,10916.31
129.5714,before,136.7436,3636423,changzhou,big,85869.76,34013.6
96.725,after,126.175,3636423,changzhou,big,85869.76,34013.6
142.961,before,134.2564,3608244,nanchang,medium,20006.31,7789.59
113.5375,after,113.6375,3608244,nanchang,medium,20006.31,7789.59
167.5974,before,178.5897,3438783,tangshan,medium,34016.32,13757.84
138.1125,after,149.4,3438783,tangshan,medium,34016.32,13757.84
126.8831,before,131.9103,3261168,wuxi,medium,85869.76,34013.6
99.85,after,128.9875,3261168,wuxi,medium,85869.76,34013.6
224.1299,before,149.6301,2194261,baotou,medium,16096.21,5109
110.325,after,125.825,2194261,baotou,medium,16096.21,5109
169.7013,before,174.7051,2150261,xuzhou,medium,85869.76,34013.6
131.4125,after,156.7875,2150261,xuzhou,medium,85869.76,34013.6
119.2857,before,142.1579,1997261,yangzhou,medium,85869.76,34013.6
96.175,after,126.7375,1997261,yangzhou,medium,85869.76,34013.6
106.4026,before,105.6154,1290803,ganzhou,medium,20006.31,7789.59
84.3375,after,85.875,1290803,ganzhou,medium,20006.31,7789.59
131.4156,before,141.1923,1174624,suzhou,medium,85869.76,34013.6
111.8625,after,134.2625,1174624,suzhou,medium,85869.76,34013.6
89.25974,before,95.01282,1167720,chifeng,medium,16096.21,5109
72.075,after,82.7125,1167720,chifeng,medium,16096.21,5109
159.3247,before,148,1158632,benxi,medium,23409.24,7302.41
124.1375,after,133.9375,1158632,benxi,medium,23409.24,7302.41
170.4026,before,160.8961,1146995,jinzhou,small,23409.24,7302.41
126.2,after,135.5625,1146995,jinzhou,small,23409.24,7302.41
138.8961,before,130.1169,1054995,panjin,small,23409.24,7302.41
109.875,after,116.75,1054995,panjin,small,23409.24,7302.41
123.1299,before,125.4935,878088,dandong,small,23409.24,7302.41
108.9,after,120.4625,878088,dandong,small,23409.24,7302.41
149.1818,before,136.1299,839907,fuxin,small,23409.24,7302.41
118.525,after,117.0875,839907,fuxin,small,23409.24,7302.41
147.7662,before,163.3205,815451,yibin,small,36980.22,11576.16
124.475,after,147.9125,815451,yibin,small,36980.22,11576.16
168.2338,before,159.1948,776269,huludao,small,23409.24,7302.41
118.625,after,134.15,776269,huludao,small,23409.24,7302.41
163.4156,before,161.4615,561635,cangzhou,small,34016.32,13757.84
112.3625,after,132.3125,561635,cangzhou,small,34016.32,13757.84
142.7143,before,159.6301,523360,chuzhou,small,27018,10916.31
115.65,after,141.9625,523360,chuzhou,small,27018,10916.31
97.84416,before,91.91026,421541,fangchenggang,small,18523.26,5822.93
73.5,after,77.12987,421541,fangchenggang,small,18523.26,5822.93
123.3766,before,131.589,350091,xianning,small,35478.09,13060.08
97.9375,after,123.0875,350091,xianning,small,35478.09,13060.08
