30cities,population_30cities,population_discrete,gross_regional_product_measuredbyprovince,industry,pm25_2020before,pm25_2020after,pm25_2019before,pm25_2019after
shanghai,27125175,big,30632.99,8392.84,111,96.5875,118.641,119.375
beijing,20501799,big,28014.94,4274,115.013,101.325,113.4744,117.1125
tianjin,13606496,big,18549.19,6863.98,137.974,113.6125,134.3333,119.4125
guangzhou,13332278,big,89705.23,35291.83,107.4286,78.125,108.2564,89.5375
nanjing,8874287,big,85869.76,34013.6,133.5195,100.65,144.7949,135.4125
wuhan,8373975,big,35478.09,13060.08,147.7013,123.775,161,150.038
hangzhou,7660494,big,51768.26,19474.48,126.2338,103.0375,144.9487,130.7125
dalian,5632414,big,23409.24,7302.41,111.8312,99.025,107.5897,118.3625
hefei,4253967,big,27018,10916.31,130.7143,97.575,148.6712,131.45
changzhou,3636423,big,85869.76,34013.6,129.5714,96.725,136.7436,126.175
nanchang,3608244,medium,20006.31,7789.59,142.961,113.5375,134.2564,113.6375
tangshan,3438783,medium,34016.32,13757.84,167.5974,138.1125,178.5897,149.4
wuxi,3261168,medium,85869.76,34013.6,126.8831,99.85,131.9103,128.9875
baotou,2194261,medium,16096.21,5109,224.1299,110.325,149.6301,125.825
xuzhou,2150261,medium,85869.76,34013.6,169.7013,131.4125,174.7051,156.7875
yangzhou,1997261,medium,85869.76,34013.6,119.2857,96.175,142.1579,126.7375
ganzhou,1290803,medium,20006.31,7789.59,106.4026,84.3375,105.6154,85.875
suzhou,1174624,medium,85869.76,34013.6,131.4156,111.8625,141.1923,134.2625
chifeng,1167720,medium,16096.21,5109,89.25974,72.075,95.01282,82.7125
benxi,1158632,medium,23409.24,7302.41,159.3247,124.1375,148,133.9375
jinzhou,1146995,small,23409.24,7302.41,170.4026,126.2,160.8961,135.5625
panjin,1054995,small,23409.24,7302.41,138.8961,109.875,130.1169,116.75
dandong,878088,small,23409.24,7302.41,123.1299,108.9,125.4935,120.4625
fuxin,839907,small,23409.24,7302.41,149.1818,118.525,136.1299,117.0875
yibin,815451,small,36980.22,11576.16,147.7662,124.475,163.3205,147.9125
huludao,776269,small,23409.24,7302.41,168.2338,118.625,159.1948,134.15
cangzhou,561635,small,34016.32,13757.84,163.4156,112.3625,161.4615,132.3125
chuzhou,523360,small,27018,10916.31,142.7143,115.65,159.6301,141.9625
fangchenggang,421541,small,18523.26,5822.93,97.84416,73.5,91.91026,77.12987
xianning,350091,small,35478.09,13060.08,123.3766,97.9375,131.589,123.0875
