city,pm25,pm10,o3,no2,so2,co,timeframe,population
baotou,224.1299,137.8182,24.57143,37.75325,29.4026,33.31169,2020_before,2194261
beijing,115.013,47.91892,19.35065,20.62338,2.922078,8.415584,2020_before,20501799
benxi,159.3247,92.36364,25.41558,23.5974,21.80519,21.32468,2020_before,1158632
cangzhou,163.4156,89.35065,20.27273,24.25974,9.428571,12.8,2020_before,561635
changzhou,129.5714,64, NaN,22.28571,5.207792,8.142857,2020_before,3636423
chifeng,89.25974,53.58442,25.15584,16.35065,17.20779,10.76623,2020_before,1167720
chuzhou,142.7143,63.88312,26.97403,22.11688,3.597403,9.246753,2020_before,523360
dalian,111.8312,54.53247,25.74026,17.74026,10.28571,8.558442,2020_before,5632414
dandong,123.1299,58.41558,25.07792,16.24675,16.84416,11.63636,2020_before,878088
fangchenggang,97.84416,45.49351,31.7013,8.87013,3.797297,6.855263,2020_before,421541
fuxin,149.1818,81.7013,30.44156,16.07792,26.8961,11.32468,2020_before,839907
ganzhou,106.4026,55.05195,40.51948,16.2987,12.42857,18.11688,2020_before,1290803
guangzhou,107.4286,55.90909,30.30159,29.16883,4.051948,8.883117,2020_before,13332278
hangzhou,126.2338,67.20779,22.08,27.18182,3.727273,9.25974,2020_before,7660494
hefei,130.7143,56.50649,20.97403,24.1039,2.857143,7.753247,2020_before,4253967
huludao,168.2338,100.3506,22.23377,23.32468,37.24675,15.28571,2020_before,776269
jinzhou,170.4026,106.9091,25.28571,24.38961,37.45455,14.42857,2020_before,1146995
nanchang,142.961,69.96104,27.87013,25.77922,7.402597,10.62338,2020_before,3608244
nanjing,133.5195,64.49351, NaN,25.8961,3.805195,9.402597,2020_before,8874287
panjin,138.8961,63.03896,24.53247,21.16883,14.35065,11.79221,2020_before,1054995
shanghai,111,44.94805,27.61039,22.42857,3.72,7.753247,2020_before,27125175
suzhou,131.4156,56.85714, NaN,27.11688,2.766234,8.818182,2020_before,1174624
tangshan,167.5974,111.7662,17.88312,32.49351,19.74026,17.45161,2020_before,3438783
tianjin,137.974,63.01333, NaN,26.18182,5.480519,12.41558,2020_before,13606496
wuhan,147.7013,71.23377,22.27273,30.76623,6.233766,11.62338,2020_before,8373975
wuxi,126.8831,66.88312, NaN,24.32468,4.194805,9.87013,2020_before,3261168
xianning,123.3766,56.72727, NaN,14.67532,5.298701,10.02597,2020_before,350091
xuzhou,169.7013,88.85714, NaN,22.11688,6.233766,10.71429,2020_before,2150261
yangzhou,119.2857,60.20779, NaN,18.03896,4.012987,6.818182,2020_before,1997261
yibin,147.7662,69.38961,19.90909,16.93506,3.831169,8.441558,2020_before,815451
baotou,110.325,79.9625,40.5125,19.725,14.725,11.9375,2020_after,2194261
beijing,101.325,48.11111,39.4375,11.8875,2.183333,4.9625,2020_after,20501799
benxi,124.1375,79.7875,41.5875,19.4125,17.7,14.8,2020_after,1158632
cangzhou,112.3625,62.4875,43.7625,12.775,6.575,6.5,2020_after,561635
changzhou,96.725,50.5875, NaN,15.575,4.025316,5.9625,2020_after,3636423
chifeng,72.075,44.725,38.5375,11.1875,7.95,6.1,2020_after,1167720
chuzhou,115.65,56.1,41.7125,13.9625,3.8375,7.3625,2020_after,523360
dalian,99.025,51.05,40.875,12.2625,6.9125,5.425,2020_after,5632414
dandong,108.9,55.9375,39.5875,10.3625,11.925,8.8,2020_after,878088
fangchenggang,73.5,35.0375,25.4,6.425,3.341772,5.15,2020_after,421541
fuxin,118.525,73.525,40.9375,10.7375,15.75,6.05,2020_after,839907
ganzhou,84.3375,40.5375,41.9125,9.25,6.9,11.8625,2020_after,1290803
guangzhou,78.125,36.5375,31.08219,18.7125,2.860759,6.575,2020_after,13332278
hangzhou,103.0375,54.3625,42.33333,21.45,3.35,6.7375,2020_after,7660494
hefei,97.575,49.5875,39.3125,16.975,3.225,5.2125,2020_after,4253967
huludao,118.625,69.2,38.8875,15.425,19.3875,7.9375,2020_after,776269
jinzhou,126.2,80.2875,38.9625,18.2625,21.175,8.8125,2020_after,1146995
nanchang,113.5375,57.675,42,17.525,7.1625,6.6625,2020_after,3608244
nanjing,100.65,51.2125, NaN,19.2125,3.632911,7.475,2020_after,8874287
panjin,109.875,57.0375,39.6625,14.5375,8.95,6.85,2020_after,1054995
shanghai,96.5875,40.2,45.3,15.4125,2.253165,4.975,2020_after,27125175
suzhou,111.8625,51.6625, NaN,18.075,2.860759,5.775,2020_after,1174624
tangshan,138.1125,82.7125,34.25,23.2875,12.6625,17.725,2020_after,3438783
tianjin,113.6125,52.13333, NaN,14.9,4.175,6.594937,2020_after,13606496
wuhan,123.775,48.275,38.275,14.4125,4.85,9.9625,2020_after,8373975
wuxi,99.85,50.55, NaN,16.8125,3.1,7.075,2020_after,3261168
xianning,97.9375,41.725, NaN,4.9375,3.475,8.075,2020_after,350091
xuzhou,131.4125,66.9125, NaN,17.9875,5.175,7.8125,2020_after,2150261
yangzhou,96.175,50.375, NaN,11.94937,3.6125,4.7375,2020_after,1997261
yibin,124.475,61.3125,40.225,14.375,4.7375,6.325,2020_after,815451
