,id,date,pm25,pm10,o3,no2,so2,co
1308,tianjin,11/8/16,106,50,-9999,24,9,13
1309,tianjin,11/9/16,98,91,-9999,32,20,17
1310,tianjin,11/10/16,178,106,-9999,29,10,16
1311,tianjin,11/11/16,196,135,-9999,38,16,29
1312,tianjin,11/12/16,218,83,-9999,28,16,22
1314,tianjin,11/14/16,182,88,-9999,26,6,14
1316,tianjin,11/16/16,100,131,-9999,42,26,19
1701,tianjin,12/8/15,154,155,-9999,34,46,34
1702,tianjin,12/9/15,206,239,-9999,38,40,44
1715,tianjin,12/22/15,381,327,-9999,75,34,31
1,tianjin,7/2/20,94,53,-9999,8,3,9
2,tianjin,7/3/20,141,NA,-9999,NA,NA,NA
3,tianjin,6/2/20,84,78,-9999,13,1,6
4,tianjin,6/3/20,102,180,-9999,16,2,7
5,tianjin,6/4/20,145,101,-9999,18,5,13
6,tianjin,6/5/20,97,38,-9999,14,6,7
7,tianjin,6/6/20,57,41,-9999,15,7,8
8,tianjin,6/7/20,89,74,-9999,21,5,10
9,tianjin,6/8/20,125,71,-9999,10,2,5
10,tianjin,6/9/20,103,73,-9999,15,4,7
11,tianjin,6/10/20,133,70,-9999,12,1,9
12,tianjin,6/11/20,142,72,-9999,14,4,9
13,tianjin,6/12/20,153,54,-9999,13,3,11
14,tianjin,6/13/20,119,67,-9999,12,3,11
15,tianjin,6/14/20,136,16,-9999,8,NA,2
16,tianjin,6/15/20,34,43,-9999,15,3,5
17,tianjin,6/16/20,72,61,-9999,14,5,7
18,tianjin,6/17/20,97,40,-9999,6,NA,4
19,tianjin,6/18/20,58,40,-9999,7,1,6
20,tianjin,6/19/20,89,41,-9999,11,1,6
21,tianjin,6/20/20,92,50,-9999,8,2,6
22,tianjin,6/21/20,104,54,-9999,8,1,7
23,tianjin,6/22/20,110,52,-9999,9,2,6
24,tianjin,6/23/20,99,49,-9999,10,2,6
25,tianjin,6/24/20,92,47,-9999,8,1,7
26,tianjin,6/25/20,94,31,-9999,6,1,4
27,tianjin,6/26/20,69,46,-9999,10,2,11
28,tianjin,6/27/20,118,53,-9999,8,1,8
29,tianjin,6/28/20,161,35,-9999,9,2,6
30,tianjin,6/29/20,105,49,-9999,18,5,8
31,tianjin,6/30/20,107,27,-9999,8,1,4
32,tianjin,7/1/20,88,41,-9999,7,1,4
33,tianjin,5/2/20,141,59,-9999,8,3,6
34,tianjin,5/3/20,127,37,-9999,12,2,5
35,tianjin,5/4/20,90,45,-9999,11,2,5
36,tianjin,5/5/20,86,47,-9999,12,2,5
37,tianjin,5/6/20,120,65,-9999,23,6,10
38,tianjin,5/7/20,153,65,-9999,25,4,11
39,tianjin,5/8/20,157,9,-9999,10,1,6
40,tianjin,5/9/20,86,36,-9999,11,2,7
41,tianjin,5/10/20,123,56,-9999,9,2,5
42,tianjin,5/11/20,80,40,-9999,9,1,2
43,tianjin,5/12/20,59,68,-9999,6,1,2
44,tianjin,5/13/20,85,93,-9999,17,5,7
45,tianjin,5/14/20,130,64,-9999,11,3,6
46,tianjin,5/15/20,104,47,-9999,12,2,7
47,tianjin,5/16/20,118,55,-9999,13,NA,7
48,tianjin,5/17/20,127,72,-9999,16,2,6
49,tianjin,5/18/20,92,54,-9999,11,2,2
50,tianjin,5/19/20,61,44,-9999,17,4,4
51,tianjin,5/20/20,65,67,-9999,20,6,9
52,tianjin,5/21/20,152,53,-9999,16,3,10
53,tianjin,5/22/20,153,29,-9999,10,2,9
54,tianjin,5/23/20,79,27,-9999,13,2,6
55,tianjin,5/24/20,26,27,-9999,15,2,4
56,tianjin,5/25/20,55,50,-9999,20,5,10
57,tianjin,5/26/20,78,42,-9999,12,2,7
58,tianjin,5/27/20,104,26,-9999,12,3,5
59,tianjin,5/28/20,51,54,-9999,17,6,6
60,tianjin,5/29/20,81,83,-9999,23,5,11
61,tianjin,5/30/20,143,57,-9999,10,2,7
62,tianjin,5/31/20,89,33,-9999,8,NA,5
63,tianjin,6/1/20,54,62,-9999,15,2,7
