"","id","date","pm25","pm10","o3","no2","so2","co"
"1",tianjin,"2020/7/2",94,53,NA,8,3,9
"2",tianjin,"2020/7/3",141,NA,NA,NA,NA,NA
"3",tianjin,"2020/6/2",84,78,NA,13,1,6
"4",tianjin,"2020/6/3",102,180,NA,16,2,7
"5",tianjin,"2020/6/4",145,101,NA,18,5,13
"6",tianjin,"2020/6/5",97,38,NA,14,6,7
"7",tianjin,"2020/6/6",57,41,NA,15,7,8
"8",tianjin,"2020/6/7",89,74,NA,21,5,10
"9",tianjin,"2020/6/8",125,71,NA,10,2,5
"10",tianjin,"2020/6/9",103,73,NA,15,4,7
"11",tianjin,"2020/6/10",133,70,NA,12,1,9
"12",tianjin,"2020/6/11",142,72,NA,14,4,9
"13",tianjin,"2020/6/12",153,54,NA,13,3,11
"14",tianjin,"2020/6/13",119,67,NA,12,3,11
"15",tianjin,"2020/6/14",136,16,NA,8,NA,2
"16",tianjin,"2020/6/15",34,43,NA,15,3,5
"17",tianjin,"2020/6/16",72,61,NA,14,5,7
"18",tianjin,"2020/6/17",97,40,NA,6,NA,4
"19",tianjin,"2020/6/18",58,40,NA,7,1,6
"20",tianjin,"2020/6/19",89,41,NA,11,1,6
"21",tianjin,"2020/6/20",92,50,NA,8,2,6
"22",tianjin,"2020/6/21",104,54,NA,8,1,7
"23",tianjin,"2020/6/22",110,52,NA,9,2,6
"24",tianjin,"2020/6/23",99,49,NA,10,2,6
"25",tianjin,"2020/6/24",92,47,NA,8,1,7
"26",tianjin,"2020/6/25",94,31,NA,6,1,4
"27",tianjin,"2020/6/26",69,46,NA,10,2,11
"28",tianjin,"2020/6/27",118,53,NA,8,1,8
"29",tianjin,"2020/6/28",161,35,NA,9,2,6
"30",tianjin,"2020/6/29",105,49,NA,18,5,8
"31",tianjin,"2020/6/30",107,27,NA,8,1,4
"32",tianjin,"2020/7/1",88,41,NA,7,1,4
"33",tianjin,"2020/5/2",141,59,NA,8,3,6
"34",tianjin,"2020/5/3",127,37,NA,12,2,5
"35",tianjin,"2020/5/4",90,45,NA,11,2,5
"36",tianjin,"2020/5/5",86,47,NA,12,2,5
"37",tianjin,"2020/5/6",120,65,NA,23,6,10
"38",tianjin,"2020/5/7",153,65,NA,25,4,11
"39",tianjin,"2020/5/8",157,9,NA,10,1,6
"40",tianjin,"2020/5/9",86,36,NA,11,2,7
"41",tianjin,"2020/5/10",123,56,NA,9,2,5
"42",tianjin,"2020/5/11",80,40,NA,9,1,2
"43",tianjin,"2020/5/12",59,68,NA,6,1,2
"44",tianjin,"2020/5/13",85,93,NA,17,5,7
"45",tianjin,"2020/5/14",130,64,NA,11,3,6
"46",tianjin,"2020/5/15",104,47,NA,12,2,7
